nlimbs bitwidth real user sys mem
17 32 177.09 175.94 1.14 2626016
18 32 213.98 212.64 1.33 2727192
18 32 212.55 211.17 1.37 2906500
18 32 506.45 501.93 3.92 7327044
18 32 212.59 210.76 1.58 2710448
18 32 498.17 494.49 3.64 7434204
18 32 489.37 485.75 3.61 8070160
18 32 214.01 212.58 1.40 2987056
18 32 202.68 201.35 1.33 2892968
18 32 499.89 496.16 3.69 8035440
19 32 242.72 241.06 1.55 3259184
19 32 242.52 241.03 1.48 3344308
19 32 239.90 238.46 1.43 3275060
19 32 239.70 238.21 1.46 3141420
20 32 801.03 773.46 8.03 10196760
20 32 755.03 740.64 6.48 10196968
20 32 276.69 275.09 1.57 3668704
20 32 278.49 276.74 1.74 3609172
20 32 276.79 274.99 1.76 3673744
20 32 276.68 275.04 1.63 3575688
21 32 329.45 327.49 1.95 3890256
22 32 380.38 378.02 2.31 4742300
23 32 441.65 439.17 2.45 5255520
23 32 440.81 438.38 2.42 5254340
24 32 528.64 525.34 2.67 5462168
24 32 524.98 522.46 2.45 5451692
25 32 735.50 725.88 3.83 5993964
