bitwidth nlimbs real user sys mem
32 18 58.67 58.24 0.43 1060296
32 18 59.16 58.65 0.50 1022848
32 18 59.42 58.81 0.52 1026476
32 18 58.73 58.25 0.46 1023392
32 18 59.11 58.51 0.52 1024324
32 18 59.27 58.75 0.47 1050444
32 19 67.02 66.48 0.52 1092748
32 19 67.71 67.21 0.49 1096832
32 19 67.81 67.22 0.56 1098140
32 19 66.71 66.19 0.43 1082924
32 19 66.80 66.25 0.53 1085424
32 20 78.35 77.67 0.59 1130788
32 20 77.94 77.30 0.53 1152228
32 20 79.28 78.76 0.51 1129552
32 20 79.73 79.12 0.51 1146996
32 20 79.51 79.04 0.46 1140112
32 20 78.12 77.65 0.46 1147592
32 21 97.86 97.40 0.45 1193140
32 22 127.94 127.40 0.53 1272452
32 23 177.25 176.65 0.58 1353020
32 23 176.95 176.35 0.58 1353052
32 24 260.08 259.49 0.58 1406912
32 24 260.76 260.12 0.63 1406192
32 25 418.97 418.33 0.63 1493788
