kind bitwidth op nlimbs prime real user sys mem
montgomery 64 feopp 3 2e137m13 13.15 12.80 0.34 740616
montgomery 64 fesub 3 2e137m13 16.41 16.08 0.32 759404
montgomery 64 femul 3 2e130m5 55.91 55.25 0.64 1457320
montgomery 64 feadd 3 2e140m27 16.28 15.93 0.33 762352
montgomery 64 fenz 3 2e140m27 12.69 12.41 0.28 725116
montgomery 64 feopp 3 2e140m27 13.32 12.97 0.34 740684
montgomery 64 femul 3 2e137m13 55.96 55.29 0.66 1453872
montgomery 64 fesub 3 2e140m27 16.09 15.77 0.31 759364
montgomery 64 feadd 3 2e141m9 16.30 15.96 0.32 761916
montgomery 64 fenz 3 2e141m9 12.60 12.31 0.28 725044
montgomery 64 feopp 3 2e141m9 13.40 13.10 0.27 740304
montgomery 64 fesub 3 2e141m9 16.34 16.01 0.32 759612
montgomery 64 femul 3 2e140m27 56.13 55.48 0.64 1455468
montgomery 64 feadd 3 2e150m3 16.22 15.88 0.33 762104
montgomery 64 fenz 3 2e150m3 12.69 12.35 0.33 724484
montgomery 64 feopp 3 2e150m3 13.42 13.13 0.28 740772
montgomery 64 fesub 3 2e150m3 16.36 16.08 0.27 758764
montgomery 64 feadd 3 2e150m5 16.30 16.00 0.29 761900
montgomery 64 femul 3 2e141m9 55.58 55.03 0.54 1451480
montgomery 64 fenz 3 2e150m5 12.59 12.35 0.24 725248
montgomery 64 feopp 3 2e150m5 13.39 13.10 0.28 741108
montgomery 64 fesub 3 2e150m5 16.39 16.15 0.23 758536
montgomery 64 femul 3 2e150m3 55.80 55.05 0.67 1447844
montgomery 64 feadd 3 2e152m17 16.34 16.09 0.25 758172
montgomery 64 fenz 3 2e152m17 12.64 12.36 0.27 725260
montgomery 64 feopp 3 2e152m17 13.51 12.95 0.53 740876
montgomery 64 fesub 3 2e152m17 16.41 16.10 0.30 759044
montgomery 64 feadd 3 2e158m15 16.36 16.06 0.28 764436
montgomery 64 femul 3 2e150m5 55.76 55.11 0.63 1447432
montgomery 64 fenz 3 2e158m15 12.59 12.33 0.24 724768
montgomery 64 feopp 3 2e158m15 13.40 13.10 0.29 741364
montgomery 64 fesub 3 2e158m15 16.34 16.01 0.33 757188
montgomery 64 feadd 3 2e165m25 16.37 16.02 0.35 762280
montgomery 64 femul 3 2e152m17 55.90 55.26 0.61 1460340
montgomery 64 fenz 3 2e165m25 12.67 12.36 0.30 725144
montgomery 64 feopp 3 2e165m25 13.40 13.07 0.32 741608
montgomery 64 fesub 3 2e165m25 16.42 16.12 0.29 757720
montgomery 64 femul 3 2e158m15 55.90 55.25 0.57 1458032
montgomery 64 feadd 3 2e166m5 16.26 15.97 0.28 762132
montgomery 64 fenz 3 2e166m5 12.66 12.39 0.26 724972
montgomery 64 feopp 3 2e166m5 13.39 13.08 0.29 741744
montgomery 64 fesub 3 2e166m5 16.44 16.14 0.29 757952
montgomery 64 feadd 3 2e171m19 16.32 15.99 0.32 762408
montgomery 64 femul 3 2e165m25 56.10 55.47 0.62 1461028
montgomery 64 fenz 3 2e171m19 12.63 12.36 0.25 724836
montgomery 64 feopp 3 2e171m19 13.41 13.18 0.23 741448
montgomery 64 fesub 3 2e171m19 16.42 16.14 0.28 757896
montgomery 64 feadd 3 2e174m17 16.37 16.00 0.34 762100
montgomery 64 femul 3 2e166m5 55.70 55.06 0.62 1460492
montgomery 64 fenz 3 2e174m17 12.66 12.34 0.32 724764
montgomery 64 feopp 3 2e174m17 13.18 12.87 0.30 741596
montgomery 64 fesub 3 2e174m17 16.43 16.09 0.31 761000
montgomery 64 femul 3 2e171m19 55.93 55.36 0.57 1456052
montgomery 64 feadd 3 2e174m3 16.33 16.03 0.29 761960
montgomery 64 fenz 3 2e174m3 12.72 12.41 0.28 724744
montgomery 64 feopp 3 2e174m3 13.41 13.12 0.29 742276
montgomery 64 fesub 3 2e174m3 16.44 16.12 0.31 757956
montgomery 64 feadd 3 2e189m25 16.34 16.05 0.29 763316
montgomery 64 femul 3 2e174m17 55.83 55.18 0.64 1457240
montgomery 64 fenz 3 2e189m25 12.70 12.37 0.31 724992
montgomery 64 feopp 3 2e189m25 13.43 13.15 0.27 741548
montgomery 64 fesub 3 2e189m25 16.39 16.08 0.30 761572
montgomery 64 feadd 3 2e190m11 16.43 15.90 0.50 763560
montgomery 64 femul 3 2e174m3 56.21 55.56 0.63 1451212
montgomery 64 fenz 3 2e190m11 12.61 12.34 0.27 725108
montgomery 64 feopp 3 2e190m11 13.50 13.19 0.29 742076
montgomery 64 fesub 3 2e190m11 16.46 16.13 0.33 761608
montgomery 64 feadd 3 2e191m19 16.19 15.89 0.29 764356
montgomery 64 femul 3 2e189m25 55.84 55.25 0.58 1447672
montgomery 64 fenz 3 2e191m19 12.63 12.36 0.26 724704
montgomery 64 feopp 3 2e191m19 13.44 13.14 0.29 741652
montgomery 64 fesub 3 2e191m19 16.41 16.14 0.26 761668
montgomery 64 feadd 3 2e192m2e64m1 16.42 16.11 0.30 764780
montgomery 64 femul 3 2e190m11 55.91 55.22 0.66 1445592
montgomery 64 fenz 3 2e192m2e64m1 12.67 12.37 0.30 724532
montgomery 64 feopp 3 2e192m2e64m1 13.43 13.11 0.31 741612
montgomery 64 fesub 3 2e192m2e64m1 16.41 16.10 0.31 761488
montgomery 64 femul 3 2e191m19 56.39 55.75 0.57 1443648
montgomery 64 feadd 4 2e194m33 20.52 20.14 0.37 796292
montgomery 64 fenz 4 2e194m33 14.74 14.43 0.29 733332
montgomery 64 feopp 4 2e194m33 16.96 16.59 0.36 758260
montgomery 64 femul 3 2e192m2e64m1 55.48 54.80 0.67 1452360
montgomery 64 fesub 4 2e194m33 22.49 22.15 0.34 795832
montgomery 64 feadd 4 2e196m15 20.61 20.17 0.41 796416
montgomery 64 fenz 4 2e196m15 14.84 14.55 0.29 733332
montgomery 64 feopp 4 2e196m15 16.91 16.62 0.29 758476
montgomery 64 fesub 4 2e196m15 22.49 22.20 0.28 796056
montgomery 64 feadd 4 2e198m17 20.70 20.37 0.29 795980
montgomery 64 fenz 4 2e198m17 14.77 14.49 0.27 733396
montgomery 64 feopp 4 2e198m17 16.84 16.55 0.29 758900
