kind bitwidth op nlimbs prime real user sys mem
solinas 64 fesquare 7 2e413m21 30.55 30.04 0.49 934352
solinas 32 fesquare 8 2e165m25 36.45 36.01 0.43 993788
solinas 32 fesquare 8 2e171m19 37.55 37.10 0.44 988516
solinas 32 fesquare 8 2e174m17 37.44 36.96 0.47 988712
solinas 32 fesquare 8 2e174m3 37.46 36.96 0.44 984560
solinas 32 fesquare 8 2e189m25 37.52 37.06 0.44 987860
solinas 32 fesquare 8 2e190m11 36.51 36.04 0.42 996112
solinas 32 fesquare 8 2e191m19 36.49 36.01 0.47 989780
solinas 32 fesquare 8 2e194m33 36.46 35.93 0.53 991232
solinas 32 fesquare 8 2e196m15 37.25 36.85 0.40 988216
solinas 32 fesquare 8 2e198m17 37.46 37.03 0.42 992716
solinas 32 fesquare 8 2e206m5 37.67 37.12 0.50 988568
solinas 32 fesquare 8 2e212m29 37.31 36.82 0.44 987960
solinas 32 fesquare 8 2e213m3 37.67 37.14 0.52 989956
solinas 32 fesquare 8 2e216m2e108m1 70.24 69.27 0.95 1602464
solinas 32 fesquare 8 2e221m3 37.86 37.40 0.45 990260
solinas 64 fesquare 8 2e369m25 39.14 38.39 0.70 993860
solinas 64 fesquare 8 2e379m19 39.17 38.72 0.43 1001904
solinas 64 fesquare 8 2e382m105 39.12 38.60 0.50 996548
solinas 64 fesquare 8 2e383m187 39.32 38.81 0.50 999540
solinas 64 fesquare 8 2e383m31 39.24 38.66 0.52 1003716
solinas 64 fesquare 8 2e383m421 38.57 38.07 0.49 997240
solinas 64 fesquare 8 2e384m317 37.92 37.45 0.46 990464
solinas 64 fesquare 8 2e389m21 39.32 38.86 0.45 1001692
solinas 64 fesquare 8 2e401m31 39.18 38.68 0.47 992708
solinas 64 fesquare 8 2e413m21 39.27 38.80 0.46 998580
solinas 64 fesquare 8 2e414m17 38.95 38.50 0.44 1001440
solinas 64 fesquare 8 2e416m2e208m1 72.06 71.17 0.87 1552396
solinas 64 fesquare 8 2e444m17 38.76 38.27 0.48 1008488
solinas 64 fesquare 8 2e448m2e224m1 74.90 73.98 0.90 1624152
solinas 64 fesquare 8 2e450m2e225m1 76.79 75.89 0.81 1625468
solinas 64 fesquare 8 2e452m3 38.98 38.52 0.40 1009700
solinas 64 fesquare 8 2e468m17 39.05 38.56 0.48 1011720
solinas 64 fesquare 8 2e480m2e240m1 73.44 72.67 0.76 1579904
solinas 32 fesquare 9 2e191m19 45.83 45.01 0.75 1102084
solinas 32 fesquare 9 2e192m2e64m1 57.75 57.13 0.61 1274600
solinas 32 fesquare 9 2e194m33 45.79 45.21 0.57 1086392
solinas 32 fesquare 9 2e196m15 45.75 45.27 0.47 1095160
solinas 32 fesquare 9 2e198m17 44.29 43.86 0.42 1086700
solinas 32 fesquare 9 2e206m5 45.75 45.29 0.45 1087896
solinas 32 fesquare 9 2e212m29 45.71 45.15 0.55 1105524
solinas 32 fesquare 9 2e213m3 45.24 44.72 0.50 1092244
solinas 32 fesquare 9 2e221m3 45.61 45.14 0.46 1102892
solinas 32 fesquare 9 2e222m117 45.43 44.95 0.46 1089684
solinas 32 fesquare 9 2e226m5 44.49 43.78 0.66 1105280
solinas 32 fesquare 9 2e230m27 46.25 45.54 0.65 1112516
solinas 32 fesquare 9 2e235m15 46.21 45.55 0.60 1115972
solinas 32 fesquare 9 2e243m9 44.36 43.83 0.51 1089344
solinas 64 fesquare 9 2e256m4294968273 46.99 46.49 0.48 1095564
solinas 64 fesquare 9 2e414m17 45.92 45.40 0.52 1096968
solinas 64 fesquare 9 2e444m17 47.25 46.68 0.56 1102652
solinas 64 fesquare 9 2e452m3 47.62 47.11 0.49 1104596
solinas 64 fesquare 9 2e468m17 46.00 45.52 0.48 1084560
solinas 64 fesquare 9 2e488m17 46.47 45.85 0.55 1113536
solinas 64 fesquare 9 2e489m21 47.46 46.89 0.57 1120104
solinas 64 fesquare 9 2e495m31 45.19 44.61 0.57 1089816
solinas 64 fesquare 9 2e521m1 47.39 46.90 0.49 1114092
solinas 32 fesquare 10 2e192m2e64m1 72.59 71.91 0.67 1397104
solinas 32 fesquare 10 2e216m2e108m1 113.46 112.36 1.10 2091960
solinas 32 fesquare 10 2e222m117 53.67 53.10 0.56 1212304
solinas 32 fesquare 10 2e226m5 52.08 51.53 0.54 1211268
solinas 32 fesquare 10 2e230m27 50.34 49.77 0.56 1186332
solinas 32 fesquare 10 2e235m15 51.27 50.76 0.49 1188940
solinas 32 fesquare 10 2e243m9 52.49 51.91 0.58 1211112
solinas 32 fesquare 10 2e251m9 52.44 51.87 0.56 1193732
solinas 32 fesquare 10 2e255m19 51.54 50.95 0.58 1188884
solinas 32 fesquare 10 2e266m3 52.17 51.62 0.53 1188356
solinas 64 fesquare 10 2e256m4294968273 53.23 52.52 0.62 1212732
solinas 64 fesquare 10 2e448m2e224m1 116.32 114.98 1.19 2064192
solinas 64 fesquare 10 2e450m2e225m1 113.76 112.64 1.11 2090516
solinas 64 fesquare 10 2e480m2e240m1 113.60 112.56 1.03 2107400
solinas 64 fesquare 10 2e488m17 55.94 55.40 0.53 1213192
solinas 64 fesquare 10 2e489m21 56.00 55.43 0.56 1219124
solinas 64 fesquare 10 2e495m31 55.25 54.51 0.67 1212088
solinas 64 fesquare 10 2e511m187 56.11 55.62 0.48 1215288
solinas 64 fesquare 10 2e511m481 56.29 55.74 0.54 1214344
solinas 64 fesquare 10 2e512m569 54.41 53.81 0.60 1212568
solinas 64 fesquare 10 2e521m1 53.87 53.27 0.59 1212856
solinas 32 fesquare 11 2e251m9 63.84 63.23 0.61 1287448
solinas 32 fesquare 11 2e255m19 66.38 65.72 0.60 1301152
solinas 32 fesquare 11 2e256m189 66.55 65.92 0.63 1305052
solinas 32 fesquare 11 2e266m3 64.00 63.41 0.59 1301588
solinas 32 fesquare 11 2e285m9 66.96 66.29 0.66 1307696
solinas 32 fesquare 11 2e291m19 64.55 63.93 0.62 1303940
solinas 64 fesquare 11 2e511m187 68.99 68.38 0.61 1325156
solinas 64 fesquare 11 2e511m481 66.95 66.33 0.61 1306352
solinas 64 fesquare 11 2e512m569 68.84 68.22 0.61 1313856
solinas 32 fesquare 12 2e255m765 78.49 77.72 0.76 1449320
solinas 32 fesquare 12 2e256m189 78.10 77.32 0.77 1444328
solinas 32 fesquare 12 2e256m2e32m977 105.89 104.99 0.90 1752860
solinas 32 fesquare 12 2e285m9 78.45 77.60 0.83 1467312
solinas 32 fesquare 12 2e291m19 77.30 76.47 0.82 1471520
solinas 32 fesquare 12 2e321m9 76.62 75.82 0.79 1444848
solinas 32 fesquare 12 2e322m2e161m1 168.64 167.05 1.57 2926160
solinas 32 fesquare 12 2e336m3 73.63 72.91 0.71 1444996
solinas 32 fesquare 13 2e255m765 91.34 90.64 0.69 1625488
solinas 32 fesquare 13 2e256m2e32m977 119.41 118.48 0.91 2040712
solinas 32 fesquare 13 2e321m9 91.18 90.38 0.79 1561644
solinas 32 fesquare 13 2e336m17 91.90 91.10 0.79 1626180
solinas 32 fesquare 13 2e336m3 91.74 90.99 0.75 1556920
solinas 32 fesquare 13 2e338m15 88.40 87.59 0.80 1625284
solinas 32 fesquare 14 2e322m2e161m1 235.72 233.55 2.16 4100420
solinas 32 fesquare 14 2e336m17 106.87 105.93 0.94 1736612
solinas 32 fesquare 14 2e338m15 111.04 110.12 0.78 1804716
solinas 32 fesquare 15 2e369m25 125.71 124.80 0.89 2069444
solinas 32 fesquare 15 2e379m19 121.65 120.66 0.98 1963064
