kind bitwidth op nlimbs prime real user sys mem
montgomery 64 feopp 3 2e129m25 13.09 12.73 0.34 740148
montgomery 64 fesub 3 2e129m25 16.07 15.72 0.34 761472
montgomery 64 feadd 3 2e130m5 16.44 16.10 0.33 762836
montgomery 64 fenz 3 2e130m5 12.76 12.42 0.33 725840
montgomery 64 feopp 3 2e130m5 13.14 12.80 0.33 740820
montgomery 64 femul 3 2e129m25 53.57 52.96 0.60 1448668
montgomery 64 fesub 3 2e130m5 16.13 15.81 0.31 760976
montgomery 64 feadd 3 2e137m13 16.43 16.14 0.28 763644
montgomery 64 fenz 3 2e137m13 12.71 12.40 0.30 725512
montgomery 64 feopp 3 2e137m13 13.14 12.81 0.31 740624
montgomery 64 fesub 3 2e137m13 16.42 16.14 0.28 761472
montgomery 64 femul 3 2e130m5 54.55 53.81 0.66 1441420
montgomery 64 feadd 3 2e140m27 16.24 15.92 0.32 763876
montgomery 64 fenz 3 2e140m27 12.67 12.35 0.31 725944
montgomery 64 feopp 3 2e140m27 13.09 12.77 0.32 740176
montgomery 64 femul 3 2e137m13 56.29 55.66 0.63 1456604
montgomery 64 fesub 3 2e140m27 16.15 15.79 0.36 761768
montgomery 64 feadd 3 2e141m9 16.22 15.92 0.29 763468
montgomery 64 fenz 3 2e141m9 12.68 12.41 0.26 725932
montgomery 64 feopp 3 2e141m9 13.07 12.76 0.29 740008
montgomery 64 fesub 3 2e141m9 16.25 15.97 0.28 762448
montgomery 64 femul 3 2e140m27 56.45 55.70 0.67 1459476
montgomery 64 feadd 3 2e150m3 16.18 15.87 0.30 761564
montgomery 64 fenz 3 2e150m3 12.72 12.35 0.36 725820
montgomery 64 feopp 3 2e150m3 13.26 12.87 0.39 740120
montgomery 64 fesub 3 2e150m3 16.17 15.84 0.32 763196
montgomery 64 feadd 3 2e150m5 16.48 16.16 0.28 761456
montgomery 64 femul 3 2e141m9 55.84 55.15 0.68 1459344
montgomery 64 fenz 3 2e150m5 12.77 12.52 0.24 726244
montgomery 64 feopp 3 2e150m5 13.38 13.04 0.33 740748
montgomery 64 fesub 3 2e150m5 16.21 15.88 0.32 762828
montgomery 64 femul 3 2e150m3 54.97 54.42 0.53 1448420
montgomery 64 feadd 3 2e152m17 16.25 15.92 0.31 762108
montgomery 64 fenz 3 2e152m17 12.63 12.33 0.30 726452
montgomery 64 feopp 3 2e152m17 13.35 13.01 0.33 740564
montgomery 64 fesub 3 2e152m17 16.28 15.93 0.34 763092
montgomery 64 feadd 3 2e158m15 16.24 15.94 0.27 761832
montgomery 64 femul 3 2e150m5 53.94 53.29 0.65 1448464
montgomery 64 fenz 3 2e158m15 12.70 12.47 0.23 725944
montgomery 64 feopp 3 2e158m15 13.39 13.08 0.30 740720
montgomery 64 fesub 3 2e158m15 16.02 15.70 0.31 763000
montgomery 64 feadd 3 2e165m25 16.44 16.12 0.29 764488
montgomery 64 femul 3 2e152m17 56.34 55.55 0.79 1439908
montgomery 64 fenz 3 2e165m25 12.71 12.45 0.26 726024
montgomery 64 feopp 3 2e165m25 13.33 13.07 0.25 741364
montgomery 64 fesub 3 2e165m25 16.08 15.75 0.32 761460
montgomery 64 femul 3 2e158m15 56.27 55.66 0.61 1454336
montgomery 64 feadd 3 2e166m5 16.42 16.09 0.30 763708
montgomery 64 fenz 3 2e166m5 12.63 12.39 0.24 725812
montgomery 64 feopp 3 2e166m5 13.13 12.74 0.38 741204
