kind bitwidth op nlimbs prime real user sys mem
montgomery 32 fenz 10 2e291m19 23.29 22.98 0.31 778036
montgomery 32 fenz 11 2e321m9 26.31 25.95 0.35 782576
montgomery 32 fenz 11 2e322m2e161m1 25.90 25.62 0.27 782704
montgomery 32 fenz 11 2e336m17 25.98 25.66 0.31 782732
montgomery 32 fenz 11 2e336m3 26.28 25.95 0.32 782776
montgomery 32 fenz 11 2e338m15 26.40 26.10 0.29 782788
montgomery 32 fenz 12 2e369m25 29.61 29.31 0.30 798668
montgomery 32 fenz 12 2e379m19 29.46 29.15 0.30 798632
montgomery 32 fenz 12 2e382m105 28.97 28.59 0.37 798680
montgomery 32 fenz 12 2e383m187 29.00 28.73 0.26 798848
montgomery 32 fenz 12 2e383m31 28.98 28.64 0.34 798564
montgomery 32 fenz 12 2e383m421 28.97 28.66 0.30 798936
montgomery 32 fenz 12 2e384m2e128m2e96p2e32m1 28.99 28.65 0.33 799104
montgomery 32 fenz 12 2e384m317 28.95 28.61 0.33 798952
montgomery 32 fenz 12 2e384m5x2e368m1 29.03 28.73 0.29 798608
montgomery 32 fenz 12 2e384m79x2e376m1 29.23 28.92 0.30 798840
montgomery 32 fenz 13 2e389m21 32.78 32.40 0.37 823240
montgomery 32 fenz 13 2e401m31 32.67 32.36 0.30 823348
montgomery 32 fenz 13 2e413m21 33.06 32.71 0.33 823144
montgomery 32 fenz 13 2e414m17 32.50 32.14 0.34 823028
montgomery 32 fenz 13 2e416m2e208m1 32.82 32.48 0.33 823488
montgomery 32 fenz 14 2e444m17 36.15 35.76 0.38 841760
montgomery 32 fenz 14 2e448m2e224m1 36.32 35.94 0.37 845040
montgomery 32 fenz 15 2e450m2e225m1 40.90 40.54 0.35 869048
montgomery 32 fenz 15 2e452m3 41.08 40.56 0.45 865184
montgomery 32 fenz 15 2e468m17 40.75 40.35 0.39 865488
montgomery 32 fenz 15 2e480m2e240m1 41.27 40.84 0.43 868364
montgomery 32 fenz 16 2e488m17 44.53 44.17 0.35 880808
montgomery 32 fenz 16 2e489m21 45.63 45.25 0.37 881132
montgomery 32 fenz 16 2e495m31 45.16 44.80 0.36 881116
montgomery 32 fenz 16 2e510m290x2e496m1 45.17 44.79 0.37 881340
montgomery 32 fenz 16 2e511m187 44.71 44.30 0.40 880524
montgomery 32 fenz 16 2e511m481 45.36 44.93 0.36 880256
montgomery 32 fenz 16 2e512m491x2e496m1 45.71 45.36 0.34 880800
montgomery 32 fenz 16 2e512m569 44.80 44.43 0.36 880792
montgomery 32 fenz 17 2e521m1 51.10 50.70 0.39 898176
