nlimbs bitwidth real user sys mem
17 32 49.44 49.02 0.42 981168
17 32 50.80 50.33 0.41 989972
17 32 50.91 50.43 0.47 991348
17 32 51.07 50.61 0.45 985900
18 32 58.02 57.58 0.43 1042828
18 32 57.75 57.26 0.48 1023952
18 32 56.64 56.24 0.40 1023176
18 32 58.08 57.64 0.43 1042792
18 32 57.17 56.77 0.37 1056612
18 32 58.10 57.69 0.40 1027484
18 32 57.90 57.48 0.41 1018032
18 32 58.78 58.31 0.46 1021340
18 32 58.83 58.38 0.44 1024036
18 32 58.80 58.38 0.40 1047556
19 32 65.59 65.14 0.44 1090684
19 32 68.00 67.51 0.47 1097040
19 32 67.13 66.63 0.49 1098244
19 32 67.70 67.23 0.46 1093860
19 32 68.03 67.53 0.48 1085356
20 32 78.53 78.08 0.44 1131772
20 32 77.66 77.11 0.45 1131304
20 32 77.94 77.44 0.49 1126608
20 32 77.87 77.40 0.46 1147768
20 32 78.10 77.60 0.48 1153012
20 32 79.86 79.26 0.58 1131444
21 32 98.32 97.82 0.49 1192480
22 32 128.39 127.79 0.59 1271756
23 32 177.34 176.80 0.54 1352980
23 32 174.36 173.88 0.46 1352724
24 32 259.94 259.28 0.65 1405984
24 32 260.67 259.70 0.66 1406412
25 32 424.34 423.54 0.78 1493716
