bitwidth nlimbs real user sys mem
32 16 55.21 54.58 0.61 1440948
32 16 57.77 56.98 0.77 1445604
32 16 70.77 69.89 0.84 1672640
32 16 71.50 70.61 0.88 1658236
32 17 63.48 62.76 0.70 1530896
32 17 61.12 60.39 0.72 1530536
32 17 63.00 62.28 0.71 1530580
32 17 64.44 63.70 0.73 1600056
32 17 61.76 61.05 0.71 1589868
32 17 61.50 60.54 0.88 1521992
32 17 63.88 63.14 0.72 1522712
32 17 63.74 63.06 0.66 1496500
32 17 64.01 63.37 0.64 1511632
32 18 74.63 73.86 0.76 1662140
32 18 71.39 70.59 0.80 1664140
32 18 84.25 83.36 0.87 1964032
32 18 72.20 71.41 0.77 1690552
32 18 86.13 85.02 0.99 1966264
32 18 83.55 82.64 0.90 1959192
32 18 74.29 73.55 0.72 1638512
32 18 74.35 73.51 0.83 1663356
32 18 86.58 85.39 1.07 1930724
32 19 81.81 80.93 0.86 1815772
32 19 78.11 77.28 0.82 1799332
32 19 81.54 80.58 0.90 1801104
32 19 82.50 81.60 0.84 1795016
32 20 103.73 102.69 1.03 2285192
32 20 105.78 104.56 1.21 2342764
32 20 93.83 92.88 0.93 1835812
32 20 94.49 93.52 0.97 1981876
32 20 89.70 88.66 1.03 1860248
32 20 91.73 90.74 0.98 1882608
32 21 104.38 103.28 1.05 2096640
32 22 118.68 117.26 1.27 2277932
32 23 141.71 140.19 1.31 2477600
32 23 142.23 141.04 1.17 2469668
32 24 170.51 169.22 1.26 2614684
32 24 172.23 171.00 1.21 2618020
32 25 223.53 222.08 1.42 2823344
