Tactic call eta-make-pf ran for 0.022 secs (0.022u,0.s)
Tactic call eta-constr-pf ran for 0.004 secs (0.004u,0.s)
Tactic call eta-cast-pf ran for 0.029 secs (0.029u,0.s)
Tactic call eta-refine ran for 0. secs (0.u,0.s) (success)
Tactic call eta-refine-and-close ran for 0.001 secs (0.001u,0.s)
Tactic call make_T_eta ran for 0.248 secs (0.244u,0.003s)
Tactic call make_f_ty ran for 0.018 secs (0.018u,0.s)
Tactic call make_T_rect ran for 0.025 secs (0.025u,0.s)
Tactic call making ran for 1.057 secs (1.054u,0.003s)
Tactic call constr-final-goal make_final_goal ran for 0. secs (0.u,0.s)
Tactic call everything ran for 1.063 secs (1.059u,0.003s) (success)
Params: n= 75
Tactic call make_Ts ran for 0.589 secs (0.589u,0.s)
Tactic call make_T ran for 0. secs (0.u,0.s)
Tactic call make_T_projs ran for 0.237 secs (0.237u,0.s)
Tactic call make_Build_T ran for 0.015 secs (0.015u,0.s)
Tactic call eta-make-let-ins ran for 0.169 secs (0.169u,0.s)
Tactic call eta-make-pf ran for 0.022 secs (0.022u,0.s)
Tactic call eta-constr-pf ran for 0.008 secs (0.008u,0.s)
Tactic call eta-cast-pf ran for 0.026 secs (0.026u,0.s)
Tactic call eta-refine ran for 0. secs (0.u,0.s) (success)
Tactic call eta-refine-and-close ran for 0.001 secs (0.001u,0.s)
Tactic call make_T_eta ran for 0.257 secs (0.257u,0.s)
Tactic call make_f_ty ran for 0.019 secs (0.019u,0.s)
Tactic call make_T_rect ran for 0.025 secs (0.025u,0.s)
Tactic call making ran for 1.126 secs (1.126u,0.s)
Tactic call constr-final-goal make_final_goal ran for 0. secs (0.u,0.s)
Tactic call everything ran for 1.132 secs (1.132u,0.s) (success)
Params: n= 76
Tactic call make_Ts ran for 0.617 secs (0.617u,0.s)
Tactic call make_T ran for 0. secs (0.u,0.s)
Tactic call make_T_projs ran for 0.255 secs (0.255u,0.s)
Tactic call make_Build_T ran for 0.016 secs (0.016u,0.s)
Tactic call eta-make-let-ins ran for 0.189 secs (0.189u,0.s)
Tactic call eta-make-pf ran for 0.029 secs (0.029u,0.s)
Tactic call eta-constr-pf ran for 0.005 secs (0.005u,0.s)
Tactic call eta-cast-pf ran for 0.035 secs (0.035u,0.s)
Tactic call eta-refine ran for 0. secs (0.u,0.s) (success)
Tactic call eta-refine-and-close ran for 0.001 secs (0.001u,0.s)
Tactic call make_T_eta ran for 0.286 secs (0.286u,0.s)
Tactic call make_f_ty ran for 0.02 secs (0.02u,0.s)
Tactic call make_T_rect ran for 0.027 secs (0.027u,0.s)
Tactic call making ran for 1.203 secs (1.203u,0.s)
Tactic call constr-final-goal make_final_goal ran for 0. secs (0.u,0.s)
Tactic call everything ran for 1.209 secs (1.209u,0.s) (success)
Params: n= 77
Tactic call make_Ts ran for 0.676 secs (0.676u,0.s)
Tactic call make_T ran for 0. secs (0.u,0.s)
Tactic call make_T_projs ran for 0.263 secs (0.263u,0.s)
Tactic call make_Build_T ran for 0.023 secs (0.023u,0.s)
Tactic call eta-make-let-ins ran for 0.196 secs (0.196u,0.s)
Tactic call eta-make-pf ran for 0.026 secs (0.026u,0.s)
Tactic call eta-constr-pf ran for 0.005 secs (0.005u,0.s)
Tactic call eta-cast-pf ran for 0.032 secs (0.032u,0.s)
Tactic call eta-refine ran for 0. secs (0.u,0.s) (success)
Tactic call eta-refine-and-close ran for 0.001 secs (0.001u,0.s)
Tactic call make_T_eta ran for 0.303 secs (0.303u,0.s)
Tactic call make_f_ty ran for 0.02 secs (0.02u,0.s)
Tactic call make_T_rect ran for 0.027 secs (0.027u,0.s)
Tactic call making ran for 1.294 secs (1.294u,0.s)
Tactic call constr-final-goal make_final_goal ran for 0. secs (0.u,0.s)
Tactic call everything ran for 1.301 secs (1.3u,0.s) (success)
Params: n= 78
Tactic call make_Ts ran for 0.716 secs (0.716u,0.s)
Tactic call make_T ran for 0. secs (0.u,0.s)
Tactic call make_T_projs ran for 0.282 secs (0.282u,0.s)
Tactic call make_Build_T ran for 0.017 secs (0.017u,0.s)
Tactic call eta-make-let-ins ran for 0.213 secs (0.213u,0.s)
Tactic call eta-make-pf ran for 0.029 secs (0.029u,0.s)
Tactic call eta-constr-pf ran for 0.005 secs (0.005u,0.s)
Tactic call eta-cast-pf ran for 0.037 secs (0.037u,0.s)
Tactic call eta-refine ran for 0. secs (0.u,0.s) (success)
Tactic call eta-refine-and-close ran for 0.001 secs (0.001u,0.s)
Tactic call make_T_eta ran for 0.316 secs (0.316u,0.s)
Tactic call make_f_ty ran for 0.02 secs (0.02u,0.s)
Tactic call make_T_rect ran for 0.027 secs (0.027u,0.s)
Tactic call making ran for 1.361 secs (1.361u,0.s)
Tactic call constr-final-goal make_final_goal ran for 0. secs (0.u,0.s)
Tactic call everything ran for 1.367 secs (1.367u,0.s) (success)
Params: n= 79
Tactic call make_Ts ran for 0.764 secs (0.764u,0.s)
Tactic call make_T ran for 0. secs (0.u,0.s)
Tactic call make_T_projs ran for 0.307 secs (0.307u,0.s)
Tactic call make_Build_T ran for 0.018 secs (0.018u,0.s)
Tactic call eta-make-let-ins ran for 0.226 secs (0.226u,0.s)
Tactic call eta-make-pf ran for 0.029 secs (0.029u,0.s)
Tactic call eta-constr-pf ran for 0.005 secs (0.005u,0.s)
Tactic call eta-cast-pf ran for 0.035 secs (0.035u,0.s)
Tactic call eta-refine ran for 0. secs (0.u,0.s) (success)
Tactic call eta-refine-and-close ran for 0.001 secs (0.001u,0.s)
Tactic call make_T_eta ran for 0.327 secs (0.327u,0.s)
Tactic call make_f_ty ran for 0.021 secs (0.021u,0.s)
Tactic call make_T_rect ran for 0.029 secs (0.029u,0.s)
Tactic call making ran for 1.448 secs (1.448u,0.s)
Tactic call constr-final-goal make_final_goal ran for 0. secs (0.u,0.s)
Tactic call everything ran for 1.454 secs (1.454u,0.s) (success)
Params: n= 80
Tactic call make_Ts ran for 0.803 secs (0.803u,0.s)
Tactic call make_T ran for 0. secs (0.u,0.s)
Tactic call make_T_projs ran for 0.312 secs (0.312u,0.s)
Tactic call make_Build_T ran for 0.023 secs (0.023u,0.s)
Tactic call eta-make-let-ins ran for 0.237 secs (0.237u,0.s)
Tactic call eta-make-pf ran for 0.023 secs (0.023u,0.s)
Tactic call eta-constr-pf ran for 0.008 secs (0.008u,0.s)
Tactic call eta-cast-pf ran for 0.038 secs (0.034u,0.003s)
Tactic call eta-refine ran for 0. secs (0.u,0.s) (success)
Tactic call eta-refine-and-close ran for 0.001 secs (0.001u,0.s)
Tactic call make_T_eta ran for 0.341 secs (0.337u,0.003s)
Tactic call make_f_ty ran for 0.021 secs (0.021u,0.s)
Tactic call make_T_rect ran for 0.028 secs (0.028u,0.s)
Tactic call making ran for 1.511 secs (1.507u,0.003s)
Tactic call constr-final-goal make_final_goal ran for 0. secs (0.u,0.s)
Tactic call everything ran for 1.517 secs (1.513u,0.003s) (success)
Params: n= 81
Tactic call make_Ts ran for 0.828 secs (0.824u,0.003s)
Tactic call make_T ran for 0. secs (0.u,0.s)
Tactic call make_T_projs ran for 0.33 secs (0.33u,0.s)
Tactic call make_Build_T ran for 0.017 secs (0.017u,0.s)
Tactic call eta-make-let-ins ran for 0.255 secs (0.255u,0.s)
Tactic call eta-make-pf ran for 0.026 secs (0.026u,0.s)
Tactic call eta-constr-pf ran for 0.005 secs (0.005u,0.s)
Tactic call eta-cast-pf ran for 0.037 secs (0.037u,0.s)
Tactic call eta-refine ran for 0. secs (0.u,0.s) (success)
Tactic call eta-refine-and-close ran for 0.001 secs (0.001u,0.s)
Tactic call make_T_eta ran for 0.362 secs (0.362u,0.s)
Tactic call make_f_ty ran for 0.022 secs (0.021u,0.s)
Tactic call make_T_rect ran for 0.029 secs (0.029u,0.s)
Tactic call making ran for 1.569 secs (1.565u,0.004s)
Tactic call constr-final-goal make_final_goal ran for 0. secs (0.u,0.s)
Tactic call everything ran for 1.576 secs (1.572u,0.004s) (success)
Params: n= 82
Tactic call make_Ts ran for 0.884 secs (0.884u,0.s)
Tactic call make_T ran for 0. secs (0.u,0.s)
Tactic call make_T_projs ran for 0.33 secs (0.33u,0.s)
Tactic call make_Build_T ran for 0.02 secs (0.02u,0.s)
Tactic call eta-make-let-ins ran for 0.25 secs (0.25u,0.s)
Tactic call eta-make-pf ran for 0.024 secs (0.024u,0.s)
Tactic call eta-constr-pf ran for 0.01 secs (0.01u,0.s)
Tactic call eta-cast-pf ran for 0.035 secs (0.035u,0.s)
Tactic call eta-refine ran for 0. secs (0.u,0.s) (success)
Tactic call eta-refine-and-close ran for 0.001 secs (0.001u,0.s)
Tactic call make_T_eta ran for 0.35 secs (0.35u,0.s)
Tactic call make_f_ty ran for 0.021 secs (0.021u,0.s)
Tactic call make_T_rect ran for 0.029 secs (0.029u,0.s)
Tactic call making ran for 1.615 secs (1.615u,0.s)
Tactic call constr-final-goal make_final_goal ran for 0. secs (0.u,0.s)
Tactic call everything ran for 1.621 secs (1.621u,0.s) (success)
Params: n= 83
Tactic call make_Ts ran for 0.909 secs (0.909u,0.s)
Tactic call make_T ran for 0. secs (0.u,0.s)
Tactic call make_T_projs ran for 0.361 secs (0.361u,0.s)
Tactic call make_Build_T ran for 0.022 secs (0.022u,0.s)
