param-n,build-real,build-sys,build-user,build-and-refine-real,build-and-refine-sys,build-and-refine-user,refine-real,refine-sys,refine-user,to-constr-real,to-constr-sys,to-constr-user,type-of-real,type-of-sys,type-of-user
7500,0.172,0.004,0.168,2.335,0.075,2.259,0.352,0.,0.352,0.551,0.067,0.483,1.258,0.003,1.254
7600,0.182,0.,0.182,3.18,0.088,3.092,0.362,0.,0.362,0.539,0.039,0.5,2.095,0.047,2.047
7700,0.239,0.,0.239,2.497,0.003,2.493,0.371,0.,0.371,0.512,0.003,0.508,1.373,0.,1.373
7800,0.164,0.,0.164,2.499,0.059,2.439,0.382,0.,0.382,0.579,0.051,0.527,1.372,0.008,1.364
7900,0.189,0.004,0.185,2.556,0.052,2.504,0.391,0.,0.391,0.608,0.048,0.56,1.367,0.,1.367
8000,0.223,0.003,0.219,2.791,0.076,2.715,0.401,0.,0.401,0.621,0.068,0.553,1.544,0.004,1.54
8100,0.188,0.003,0.184,2.755,0.067,2.687,0.411,0.,0.411,0.714,0.063,0.65,1.44,0.,1.44
8200,0.206,0.003,0.202,3.26,0.063,3.196,0.422,0.,0.422,1.532,0.06,1.472,1.099,0.,1.099
8300,0.182,0.,0.182,2.77,0.02,2.749,0.434,0.,0.434,1.194,0.02,1.174,0.958,0.,0.958
8400,0.195,0.003,0.191,2.86,0.039,2.82,0.444,0.,0.444,1.278,0.035,1.242,0.942,0.,0.942
8500,0.267,0.007,0.259,3.055,0.092,2.963,0.454,0.,0.454,1.389,0.084,1.305,0.943,0.,0.943
8600,0.235,0.011,0.223,3.02,0.083,2.936,0.465,0.,0.465,1.354,0.071,1.282,0.964,0.,0.964
8700,0.197,0.,0.197,2.982,0.,2.982,0.476,0.,0.476,1.22,0.,1.22,1.088,0.,1.088
8800,0.239,0.,0.239,2.996,0.,2.996,0.487,0.,0.487,1.255,0.,1.255,1.012,0.,1.012
8900,0.195,0.,0.195,3.109,0.027,3.081,0.5,0.,0.5,1.375,0.027,1.347,1.038,0.,1.038
9000,0.217,0.008,0.209,4.039,0.1,3.939,0.51,0.,0.51,2.12,0.092,2.028,1.191,0.,1.191
9100,0.221,0.,0.221,3.198,0.003,3.194,0.521,0.003,0.517,1.372,0.,1.372,1.082,0.,1.082
9200,0.258,0.,0.258,3.581,0.103,3.476,0.533,0.,0.533,0.939,0.099,0.839,1.85,0.004,1.846
9300,0.255,0.015,0.239,3.35,0.059,3.29,0.545,0.,0.545,1.414,0.043,1.37,1.134,0.,1.134
9400,0.211,0.,0.211,3.624,0.02,3.604,0.556,0.,0.556,0.948,0.015,0.932,1.907,0.003,1.903
9500,0.24,0.,0.24,3.428,0.027,3.4,0.568,0.,0.568,1.435,0.027,1.407,1.183,0.,1.183
9600,0.232,0.003,0.228,4.382,0.075,4.306,0.581,0.,0.581,2.195,0.071,2.122,1.372,0.,1.372
9700,0.224,0.003,0.22,3.501,0.02,3.481,0.593,0.,0.593,1.444,0.016,1.428,1.239,0.,1.239
9800,0.336,0.003,0.332,4.049,0.116,3.933,0.607,0.,0.607,0.976,0.104,0.872,2.129,0.008,2.121
9900,0.276,0.007,0.268,3.506,0.071,3.434,0.618,0.,0.618,1.103,0.063,1.039,1.507,0.,1.507
10000,1.001,0.039,0.961,4.6,0.04,4.56,0.631,0.,0.631,1.657,0.,1.657,1.31,0.,1.31
10100,0.258,0.,0.258,3.891,0.071,3.819,0.642,0.,0.642,0.997,0.071,0.925,1.992,0.,1.992
10200,0.342,0.008,0.334,3.972,0.099,3.872,0.656,0.,0.656,1.59,0.091,1.498,1.382,0.,1.382
10300,0.295,0.012,0.283,4.327,0.064,4.263,0.671,0.,0.671,1.013,0.051,0.961,2.347,0.,2.347
10400,1.044,0.055,0.988,4.78,0.055,4.724,0.684,0.,0.684,1.604,0.,1.604,1.446,0.,1.446
10500,0.289,0.019,0.269,4.502,0.127,4.374,0.696,0.,0.696,1.072,0.108,0.964,2.444,0.,2.444
10600,0.366,0.003,0.362,4.259,0.087,4.171,0.71,0.,0.71,1.673,0.083,1.589,1.508,0.,1.508
10700,0.306,0.007,0.298,4.679,0.128,4.53,0.725,0.,0.725,1.114,0.116,0.998,2.512,0.004,2.508
10800,1.067,0.059,1.007,5.013,0.103,4.909,0.739,0.,0.739,1.635,0.043,1.591,1.571,0.,1.571
10900,0.311,0.007,0.303,4.848,0.103,4.744,0.752,0.,0.752,1.151,0.095,1.055,2.633,0.,2.633
11000,0.38,0.015,0.364,4.565,0.116,4.449,0.765,0.,0.765,1.784,0.1,1.684,1.635,0.,1.635
11100,0.315,0.003,0.311,4.999,0.047,4.951,0.778,0.,0.778,1.138,0.043,1.094,2.767,0.,2.767
11200,1.041,0.047,0.993,5.281,0.096,5.185,0.792,0.,0.792,1.745,0.048,1.697,1.701,0.,1.701
11300,0.316,0.019,0.296,5.133,0.152,4.981,0.806,0.,0.806,1.232,0.132,1.1,2.779,0.,2.779
11400,0.384,0.007,0.376,4.793,0.107,4.684,0.817,0.,0.817,1.811,0.099,1.709,1.78,0.,1.78
11500,0.32,0.008,0.312,5.098,0.056,5.042,0.833,0.,0.833,2.217,0.047,2.169,1.726,0.,1.726
11600,1.047,0.067,0.979,5.449,0.099,5.349,0.848,0.,0.848,1.798,0.032,1.766,1.754,0.,1.754
11700,0.329,0.031,0.297,4.994,0.151,4.842,0.861,0.,0.861,1.958,0.12,1.837,1.846,0.,1.846
11800,0.382,0.019,0.362,5.292,0.151,5.14,0.874,0.,0.874,2.226,0.131,2.094,1.808,0.,1.808
11900,0.335,0.019,0.315,5.831,0.116,5.715,0.891,0.,0.891,2.679,0.095,2.583,1.925,0.,1.925
12000,0.328,0.,0.328,5.13,0.071,5.058,0.906,0.,0.906,2.021,0.071,1.949,1.874,0.,1.874
12100,0.402,0.007,0.394,5.754,0.115,5.638,0.921,0.,0.921,2.525,0.107,2.417,1.905,0.,1.905
12200,0.322,0.004,0.318,5.264,0.04,5.224,0.937,0.,0.937,1.939,0.035,1.903,2.065,0.,2.065
12300,0.327,0.015,0.311,6.148,0.087,6.06,0.951,0.,0.951,2.769,0.072,2.696,2.099,0.,2.099
12400,0.293,0.,0.293,5.378,0.088,5.29,0.968,0.,0.968,2.114,0.087,2.026,2.001,0.,2.001
12500,0.412,0.015,0.396,6.106,0.136,5.97,0.983,0.,0.983,2.674,0.12,2.554,2.036,0.,2.036
12600,0.359,0.012,0.347,5.636,0.051,5.584,0.999,0.,0.999,2.04,0.039,2.,2.237,0.,2.237
12700,0.302,0.,0.302,6.379,0.064,6.315,1.015,0.,1.015,2.829,0.064,2.765,2.232,0.,2.232
12800,0.303,0.,0.303,5.688,0.143,5.544,1.032,0.,1.032,2.215,0.143,2.071,2.137,0.,2.137
12900,0.427,0.003,0.423,6.33,0.175,6.154,1.047,0.,1.047,2.683,0.167,2.515,2.171,0.003,2.167
13000,0.337,0.,0.337,5.851,0.032,5.819,1.065,0.,1.065,2.07,0.032,2.038,2.378,0.,2.378
13100,0.313,0.,0.313,6.766,0.119,6.646,1.082,0.,1.082,2.964,0.119,2.844,2.406,0.,2.406
13200,0.314,0.,0.314,5.952,0.055,5.896,1.098,0.,1.098,2.091,0.055,2.035,2.447,0.,2.447
13300,0.345,0.024,0.321,6.819,0.111,6.707,1.115,0.,1.115,2.878,0.087,2.79,2.479,0.,2.479
13400,0.32,0.,0.32,6.205,0.076,6.129,1.132,0.,1.132,2.231,0.075,2.155,2.521,0.,2.521
13500,0.349,0.007,0.341,7.38,0.091,7.288,1.149,0.,1.149,3.324,0.084,3.24,2.556,0.,2.556
13600,0.324,0.,0.324,6.891,0.116,6.775,1.166,0.,1.166,2.799,0.115,2.683,2.6,0.,2.6
13700,0.359,0.011,0.347,7.884,0.104,7.78,1.19,0.,1.19,3.688,0.092,3.596,2.646,0.,2.646
13800,0.342,0.,0.342,7.191,0.091,7.099,1.203,0.,1.203,2.945,0.091,2.853,2.7,0.,2.699
13900,0.367,0.003,0.363,8.033,0.12,7.913,1.22,0.,1.22,3.724,0.116,3.608,2.72,0.,2.72
14000,0.338,0.,0.338,7.357,0.107,7.249,1.239,0.,1.239,3.009,0.107,2.901,2.77,0.,2.77
