param-n,uconstr-I-1000-real,uconstr-I-1000-sys,uconstr-I-1000-user
347,0.019,0.,0.019
348,0.02,0.,0.02
349,0.019,0.,0.019
350,0.02,0.,0.02
351,0.021,0.,0.021
352,0.021,0.,0.021
353,0.019,0.,0.019
354,0.02,0.,0.02
355,0.021,0.,0.021
356,0.02,0.,0.02
357,0.02,0.,0.02
358,0.019,0.,0.019
359,0.02,0.,0.02
360,0.019,0.,0.019
361,0.02,0.,0.02
362,0.021,0.,0.021
363,0.02,0.,0.02
364,0.02,0.,0.02
365,0.021,0.,0.021
366,0.02,0.,0.02
367,0.02,0.,0.02
368,0.02,0.,0.02
369,0.02,0.,0.02
370,0.02,0.,0.02
371,0.02,0.,0.02
372,0.021,0.,0.021
373,0.02,0.,0.02
374,0.02,0.,0.02
375,0.02,0.,0.02
376,0.021,0.,0.021
377,0.02,0.,0.02
378,0.02,0.,0.02
379,0.02,0.,0.02
380,0.021,0.,0.021
381,0.02,0.,0.02
382,0.021,0.,0.021
383,0.021,0.,0.021
384,0.02,0.,0.02
385,0.02,0.003,0.017
386,0.021,0.,0.021
387,0.021,0.,0.021
388,0.022,0.,0.022
389,0.021,0.,0.021
390,0.021,0.003,0.017
391,0.022,0.,0.022
392,0.022,0.,0.022
393,0.021,0.,0.021
394,0.022,0.,0.022
395,0.02,0.,0.02
396,0.021,0.,0.021
397,0.02,0.,0.02
398,0.021,0.,0.021
399,0.022,0.,0.022
400,0.021,0.,0.021
401,0.021,0.,0.021
402,0.021,0.,0.021
403,0.021,0.,0.021
404,0.022,0.,0.022
405,0.022,0.,0.022
406,0.022,0.,0.022
407,0.021,0.,0.021
408,0.021,0.,0.021
409,0.021,0.,0.021
410,0.022,0.,0.022
411,0.022,0.,0.022
412,0.021,0.,0.021
413,0.022,0.,0.022
414,0.022,0.,0.022
415,0.021,0.,0.021
416,0.022,0.,0.022
417,0.022,0.,0.022
418,0.021,0.,0.021
419,0.021,0.,0.021
420,0.022,0.,0.022
421,0.022,0.,0.022
422,0.022,0.,0.022
423,0.022,0.,0.022
424,0.022,0.,0.022
425,0.022,0.,0.022
426,0.022,0.,0.022
427,0.022,0.,0.022
428,0.022,0.,0.022
429,0.022,0.,0.022
430,0.022,0.,0.022
431,0.022,0.,0.022
432,0.022,0.,0.022
433,0.022,0.,0.022
434,0.022,0.,0.022
435,0.022,0.,0.022
436,0.022,0.,0.022
437,0.022,0.,0.022
438,0.022,0.,0.022
439,0.022,0.,0.022
440,0.022,0.,0.022
441,0.022,0.,0.022
442,0.022,0.,0.022
443,0.022,0.,0.022
444,0.022,0.,0.022
445,0.023,0.,0.023
446,0.023,0.,0.023
447,0.022,0.,0.022
448,0.023,0.,0.023
449,0.022,0.,0.022
450,0.023,0.,0.023
451,0.022,0.,0.022
452,0.023,0.,0.023
453,0.022,0.,0.022
454,0.023,0.,0.023
455,0.022,0.,0.022
456,0.022,0.,0.022
457,0.024,0.003,0.02
458,0.024,0.003,0.02
459,0.024,0.,0.024
460,0.024,0.003,0.02
461,0.023,0.,0.023
462,0.023,0.,0.023
463,0.025,0.,0.025
464,0.023,0.,0.023
465,0.023,0.,0.023
466,0.023,0.,0.023
467,0.024,0.,0.024
468,0.023,0.,0.023
469,0.023,0.,0.023
470,0.023,0.,0.023
471,0.024,0.,0.024
472,0.023,0.,0.023
473,0.023,0.,0.023
474,0.024,0.,0.024
475,0.023,0.,0.023
476,0.023,0.,0.023
477,0.023,0.,0.023
478,0.023,0.,0.023
479,0.023,0.,0.023
480,0.024,0.,0.024
481,0.023,0.,0.023
482,0.024,0.,0.024
483,0.023,0.,0.023
484,0.024,0.,0.024
485,0.024,0.,0.024
486,0.023,0.,0.023
487,0.025,0.,0.025
488,0.024,0.,0.024
489,0.024,0.,0.024
490,0.023,0.,0.023
491,0.023,0.,0.023
492,0.024,0.,0.024
493,0.024,0.,0.024
494,0.024,0.,0.024
495,0.025,0.,0.025
496,0.024,0.,0.024
497,0.025,0.,0.025
498,0.024,0.,0.024
499,0.024,0.,0.024
500,0.024,0.,0.024
501,0.024,0.,0.024
502,0.026,0.,0.026
503,0.024,0.,0.024
504,0.024,0.,0.024
505,0.026,0.,0.026
506,0.025,0.,0.025
507,0.025,0.,0.025
508,0.025,0.,0.025
509,0.024,0.,0.024
510,0.025,0.,0.025
511,0.025,0.,0.025
512,0.025,0.,0.025
513,0.025,0.,0.025
514,0.024,0.,0.024
515,0.025,0.,0.025
516,0.024,0.,0.024
517,0.024,0.,0.024
518,0.025,0.,0.025
519,0.025,0.,0.025
520,0.025,0.,0.025
521,0.026,0.,0.026
522,0.025,0.,0.025
523,0.025,0.,0.025
524,0.025,0.,0.025
525,0.025,0.,0.025
526,0.026,0.,0.026
527,0.025,0.,0.025
528,0.025,0.,0.025
529,0.026,0.,0.026
530,0.025,0.,0.025
531,0.025,0.,0.025
532,0.026,0.,0.026
533,0.025,0.,0.025
534,0.026,0.,0.026
535,0.025,0.,0.025
536,0.026,0.,0.026
537,0.026,0.,0.026
538,0.025,0.,0.025
539,0.026,0.,0.026
540,0.026,0.,0.026
541,0.026,0.,0.026
542,0.026,0.,0.026
543,0.026,0.,0.026
544,0.026,0.,0.026
545,0.027,0.,0.027
546,0.026,0.,0.026
547,0.027,0.,0.027
548,0.026,0.,0.026
549,0.026,0.,0.026
550,0.026,0.,0.026
551,0.027,0.,0.027
552,0.027,0.,0.027
553,0.027,0.,0.027
554,0.028,0.,0.028
555,0.027,0.,0.027
556,0.027,0.,0.027
557,0.026,0.,0.026
558,0.027,0.,0.027
559,0.027,0.,0.027
560,0.027,0.,0.027
561,0.027,0.,0.027
562,0.027,0.,0.027
563,0.028,0.,0.028
564,0.028,0.,0.028
565,0.028,0.,0.028
566,0.028,0.,0.028
567,0.027,0.,0.027
568,0.027,0.,0.027
569,0.027,0.,0.027
570,0.028,0.,0.028
571,0.027,0.,0.027
572,0.027,0.,0.027
573,0.027,0.,0.027
574,0.027,0.,0.027
575,0.028,0.,0.028
576,0.028,0.,0.028
577,0.027,0.,0.027
578,0.028,0.,0.028
579,0.027,0.,0.027
580,0.027,0.,0.027
581,0.028,0.,0.028
582,0.028,0.,0.028
583,0.029,0.,0.029
584,0.029,0.,0.029
585,0.029,0.,0.029
586,0.029,0.,0.029
587,0.028,0.003,0.024
588,0.028,0.,0.028
589,0.028,0.,0.028
590,0.028,0.,0.028
591,0.028,0.,0.028
592,0.029,0.,0.029
593,0.029,0.,0.029
594,0.029,0.,0.029
595,0.029,0.,0.029
596,0.028,0.,0.028
597,0.029,0.,0.029
598,0.028,0.,0.028
599,0.029,0.,0.029
