param-n,build-real,build-sys,build-user,build-and-typecheck-real,build-and-typecheck-sys,build-and-typecheck-user,refine-real,refine-sys,refine-user,typecheck-real,typecheck-sys,typecheck-user
185,0.006,0.,0.006,0.037,0.,0.037,0.032,0.,0.032,0.031,0.,0.031
186,0.006,0.,0.006,0.038,0.,0.038,0.03,0.,0.03,0.032,0.,0.032
187,0.007,0.,0.007,0.037,0.,0.037,0.03,0.,0.03,0.03,0.,0.03
188,0.006,0.,0.006,0.036,0.,0.036,0.03,0.,0.03,0.029,0.,0.029
189,0.006,0.,0.006,0.037,0.,0.037,0.03,0.,0.03,0.03,0.,0.03
190,0.006,0.,0.006,0.04,0.,0.04,0.031,0.,0.031,0.033,0.,0.033
191,0.006,0.,0.006,0.04,0.,0.04,0.032,0.,0.032,0.033,0.,0.033
192,0.006,0.,0.006,0.04,0.,0.04,0.034,0.,0.034,0.034,0.,0.034
193,0.006,0.,0.006,0.04,0.,0.04,0.033,0.,0.033,0.033,0.,0.033
194,0.006,0.,0.006,0.04,0.003,0.037,0.031,0.,0.031,0.034,0.003,0.03
195,0.006,0.,0.006,0.041,0.,0.041,0.031,0.,0.031,0.034,0.,0.034
196,0.006,0.,0.006,0.041,0.,0.041,0.033,0.,0.033,0.034,0.,0.034
197,0.006,0.,0.006,0.041,0.,0.041,0.033,0.,0.033,0.034,0.,0.034
198,0.006,0.,0.006,0.042,0.,0.042,0.032,0.,0.032,0.035,0.,0.035
199,0.006,0.,0.006,0.042,0.,0.042,0.034,0.,0.034,0.035,0.,0.035
200,0.006,0.,0.006,0.043,0.,0.043,0.034,0.,0.034,0.036,0.,0.036
201,0.006,0.,0.006,0.044,0.,0.044,0.035,0.,0.035,0.037,0.,0.037
202,0.006,0.,0.006,0.044,0.,0.044,0.035,0.,0.035,0.037,0.,0.037
203,0.01,0.,0.01,0.046,0.,0.046,0.034,0.,0.034,0.035,0.,0.035
204,0.007,0.,0.007,0.043,0.,0.043,0.036,0.,0.036,0.036,0.,0.036
205,0.007,0.,0.007,0.044,0.,0.044,0.037,0.,0.037,0.037,0.,0.037
206,0.006,0.,0.006,0.044,0.,0.044,0.038,0.,0.038,0.037,0.,0.037
207,0.007,0.,0.006,0.044,0.,0.044,0.038,0.,0.038,0.037,0.,0.037
208,0.008,0.,0.008,0.05,0.003,0.046,0.038,0.,0.038,0.042,0.003,0.038
209,0.006,0.,0.006,0.044,0.,0.044,0.037,0.,0.037,0.037,0.,0.037
210,0.006,0.,0.006,0.045,0.,0.045,0.037,0.,0.037,0.038,0.,0.038
211,0.007,0.,0.007,0.046,0.,0.046,0.038,0.,0.038,0.039,0.,0.039
212,0.007,0.,0.007,0.047,0.,0.047,0.039,0.,0.039,0.039,0.,0.039
