param-n,build-and-open-real,build-and-open-sys,build-and-open-user,open-constr-real,open-constr-sys,open-constr-user,uconstr-real,uconstr-sys,uconstr-user
369,0.122,0.003,0.118,0.028,0.003,0.024,0.093,0.,0.093
370,0.107,0.,0.107,0.028,0.,0.028,0.078,0.,0.078
371,0.115,0.,0.115,0.038,0.,0.038,0.076,0.,0.076
372,0.118,0.,0.118,0.029,0.,0.029,0.088,0.,0.088
373,0.13,0.,0.13,0.04,0.,0.04,0.09,0.,0.09
374,0.132,0.,0.132,0.029,0.,0.029,0.103,0.,0.103
375,0.11,0.,0.11,0.032,0.,0.032,0.077,0.,0.077
376,0.113,0.,0.113,0.03,0.,0.03,0.082,0.,0.082
377,0.129,0.002,0.126,0.04,0.,0.04,0.089,0.002,0.086
378,0.128,0.,0.128,0.03,0.,0.03,0.097,0.,0.097
379,0.106,0.,0.106,0.03,0.,0.03,0.076,0.,0.076
380,0.123,0.,0.123,0.041,0.,0.041,0.082,0.,0.082
381,0.117,0.,0.117,0.03,0.,0.03,0.086,0.,0.086
382,0.148,0.,0.148,0.057,0.,0.057,0.09,0.,0.09
383,0.108,0.,0.108,0.031,0.,0.031,0.077,0.,0.077
384,0.113,0.,0.113,0.031,0.,0.031,0.082,0.,0.082
385,0.117,0.,0.117,0.031,0.,0.031,0.085,0.,0.085
386,0.128,0.,0.128,0.043,0.,0.043,0.084,0.,0.084
387,0.154,0.,0.154,0.062,0.,0.062,0.091,0.,0.091
388,0.136,0.,0.136,0.031,0.,0.031,0.104,0.,0.104
389,0.119,0.,0.119,0.036,0.,0.036,0.083,0.,0.083
390,0.117,0.,0.117,0.032,0.,0.032,0.085,0.,0.085
391,0.133,0.,0.133,0.046,0.,0.046,0.086,0.,0.086
392,0.16,0.,0.16,0.068,0.,0.068,0.092,0.,0.092
393,0.136,0.,0.136,0.033,0.,0.033,0.103,0.,0.103
394,0.159,0.,0.159,0.053,0.,0.053,0.106,0.,0.106
395,0.158,0.,0.158,0.033,0.,0.033,0.125,0.,0.125
396,0.119,0.,0.119,0.033,0.,0.033,0.085,0.,0.085
397,0.13,0.,0.13,0.044,0.,0.044,0.085,0.,0.085
398,0.124,0.,0.124,0.033,0.,0.033,0.091,0.,0.091
399,0.141,0.,0.141,0.033,0.,0.033,0.107,0.,0.107
400,0.157,0.,0.157,0.058,0.,0.058,0.099,0.,0.099
401,0.118,0.,0.118,0.033,0.,0.033,0.084,0.,0.084
402,0.119,0.003,0.115,0.034,0.,0.034,0.084,0.003,0.08
403,0.124,0.004,0.12,0.036,0.004,0.032,0.087,0.,0.087
404,0.137,0.003,0.133,0.042,0.,0.042,0.095,0.003,0.091
405,0.133,0.,0.133,0.035,0.,0.035,0.097,0.,0.097
406,0.151,0.004,0.147,0.054,0.004,0.05,0.097,0.,0.097
407,0.172,0.007,0.164,0.07,0.007,0.062,0.101,0.,0.101
408,0.146,0.,0.146,0.035,0.,0.035,0.111,0.,0.111
409,0.122,0.,0.122,0.035,0.,0.035,0.086,0.,0.086
410,0.13,0.,0.13,0.039,0.,0.039,0.09,0.,0.09
411,0.133,0.,0.133,0.042,0.,0.042,0.091,0.,0.091
412,0.132,0.,0.132,0.035,0.,0.035,0.096,0.,0.096
413,0.141,0.,0.141,0.036,0.,0.036,0.104,0.,0.104
414,0.313,0.,0.313,0.037,0.,0.037,0.275,0.,0.275
415,0.152,0.,0.152,0.054,0.,0.054,0.097,0.,0.097
416,0.135,0.,0.135,0.037,0.,0.037,0.098,0.,0.098
417,0.135,0.,0.135,0.037,0.,0.037,0.097,0.,0.097
418,0.161,0.,0.161,0.037,0.,0.037,0.124,0.,0.124
419,0.175,0.,0.175,0.057,0.,0.057,0.117,0.,0.117
420,0.18,0.,0.18,0.067,0.,0.067,0.113,0.,0.113
421,0.16,0.,0.16,0.07,0.,0.07,0.09,0.,0.09
422,0.138,0.,0.138,0.038,0.,0.038,0.099,0.,0.099
423,0.13,0.,0.13,0.037,0.,0.037,0.092,0.,0.092
424,0.134,0.,0.134,0.041,0.,0.041,0.092,0.,0.092
425,0.14,0.,0.14,0.044,0.,0.044,0.095,0.,0.095
426,0.143,0.,0.143,0.045,0.,0.045,0.098,0.,0.098
427,0.145,0.,0.145,0.046,0.,0.046,0.098,0.,0.098
428,0.141,0.,0.141,0.038,0.,0.038,0.102,0.,0.102
429,0.141,0.,0.141,0.039,0.,0.039,0.102,0.,0.102
430,0.148,0.,0.148,0.039,0.,0.039,0.109,0.,0.109
431,0.154,0.,0.154,0.04,0.,0.039,0.114,0.,0.114
432,0.159,0.,0.159,0.055,0.,0.055,0.104,0.,0.104
433,0.157,0.,0.157,0.053,0.,0.053,0.103,0.,0.103
434,0.156,0.,0.156,0.056,0.,0.056,0.099,0.,0.099
435,0.16,0.,0.16,0.058,0.,0.058,0.101,0.,0.101
436,0.166,0.,0.166,0.06,0.,0.06,0.106,0.,0.106
437,0.167,0.,0.167,0.062,0.,0.062,0.105,0.,0.105
438,0.162,0.,0.162,0.056,0.,0.056,0.105,0.,0.105
439,0.162,0.,0.162,0.051,0.,0.051,0.11,0.,0.11
440,0.152,0.,0.152,0.043,0.,0.043,0.109,0.,0.109
441,0.157,0.,0.157,0.051,0.,0.051,0.106,0.,0.106
442,0.149,0.,0.149,0.042,0.,0.042,0.107,0.,0.107
443,0.152,0.,0.152,0.043,0.,0.043,0.109,0.,0.109
444,0.159,0.,0.159,0.042,0.,0.042,0.116,0.,0.116
445,0.164,0.,0.164,0.042,0.,0.042,0.121,0.,0.121
446,0.166,0.,0.166,0.042,0.,0.042,0.123,0.,0.123
447,0.163,0.,0.163,0.043,0.,0.043,0.12,0.,0.12
448,0.164,0.,0.164,0.052,0.,0.052,0.111,0.,0.111
449,0.165,0.,0.165,0.054,0.,0.054,0.111,0.,0.111
450,0.194,0.,0.194,0.083,0.,0.083,0.11,0.,0.11
451,0.261,0.,0.261,0.088,0.,0.088,0.172,0.,0.172
452,0.256,0.,0.256,0.085,0.,0.085,0.17,0.,0.17
453,0.186,0.,0.186,0.081,0.,0.081,0.105,0.,0.105
454,0.212,0.,0.212,0.078,0.,0.078,0.134,0.,0.134
455,0.203,0.,0.203,0.074,0.,0.074,0.129,0.,0.129
456,0.197,0.,0.197,0.07,0.,0.07,0.126,0.,0.126
457,0.188,0.,0.188,0.063,0.,0.063,0.124,0.,0.124
458,0.173,0.,0.173,0.061,0.,0.061,0.112,0.,0.112
459,0.167,0.,0.167,0.045,0.,0.045,0.121,0.,0.121
460,0.165,0.,0.165,0.046,0.,0.046,0.119,0.,0.119
461,0.161,0.,0.161,0.046,0.,0.046,0.114,0.,0.114
462,0.201,0.,0.201,0.092,0.,0.092,0.109,0.,0.109
463,0.256,0.,0.256,0.087,0.,0.087,0.169,0.,0.169
464,0.19,0.003,0.186,0.082,0.003,0.078,0.107,0.,0.107
465,0.199,0.,0.199,0.076,0.,0.076,0.122,0.,0.122
466,0.196,0.003,0.192,0.067,0.003,0.063,0.129,0.,0.129
467,0.186,0.,0.186,0.047,0.,0.047,0.139,0.,0.139
468,0.18,0.,0.18,0.047,0.,0.047,0.132,0.,0.132
469,0.179,0.,0.179,0.058,0.,0.058,0.12,0.,0.12
470,0.175,0.,0.175,0.057,0.,0.057,0.118,0.,0.118
471,0.388,0.,0.388,0.27,0.,0.27,0.117,0.,0.117
472,0.172,0.,0.172,0.049,0.,0.049,0.122,0.,0.122
473,0.209,0.,0.209,0.049,0.,0.049,0.159,0.,0.159
474,0.201,0.,0.201,0.075,0.,0.075,0.125,0.,0.125
475,0.183,0.,0.183,0.062,0.,0.062,0.121,0.,0.121
476,0.182,0.,0.182,0.063,0.,0.063,0.118,0.,0.118
477,0.172,0.,0.172,0.05,0.,0.05,0.122,0.,0.122
478,0.212,0.,0.212,0.095,0.,0.095,0.116,0.,0.116
479,0.207,0.,0.207,0.081,0.,0.081,0.125,0.,0.125
480,0.201,0.,0.201,0.066,0.,0.066,0.134,0.,0.134
481,0.176,0.,0.176,0.051,0.,0.051,0.125,0.,0.125
482,0.194,0.,0.194,0.061,0.,0.061,0.133,0.,0.133
483,0.183,0.,0.183,0.06,0.,0.06,0.123,0.,0.123
484,0.182,0.,0.182,0.051,0.,0.051,0.13,0.,0.13
485,0.237,0.,0.237,0.083,0.,0.083,0.154,0.,0.154
486,0.203,0.,0.203,0.075,0.,0.075,0.128,0.,0.128
487,0.19,0.,0.19,0.051,0.,0.051,0.138,0.,0.138
488,0.224,0.,0.224,0.1,0.,0.1,0.124,0.,0.124
489,0.227,0.,0.227,0.083,0.,0.083,0.144,0.,0.144
490,0.189,0.,0.189,0.052,0.,0.052,0.136,0.,0.136
491,0.199,0.,0.199,0.058,0.,0.058,0.14,0.,0.14
492,0.192,0.,0.192,0.064,0.,0.064,0.128,0.,0.128
493,0.182,0.,0.182,0.053,0.,0.053,0.129,0.,0.129
494,0.216,0.,0.216,0.093,0.,0.093,0.123,0.,0.123
495,0.224,0.,0.224,0.072,0.,0.072,0.152,0.,0.152
496,0.219,0.,0.219,0.067,0.,0.067,0.152,0.,0.152
497,0.315,0.,0.21,0.079,0.,0.079,0.13,0.,0.13
498,0.239,0.,0.239,0.054,0.,0.054,0.184,0.,0.184
499,0.249,0.,0.249,0.077,0.,0.077,0.171,0.,0.171
500,0.213,0.,0.213,0.082,0.,0.082,0.13,0.,0.13
510,0.248,0.007,0.24,0.105,0.007,0.098,0.142,0.,0.142
520,0.263,0.003,0.259,0.086,0.003,0.082,0.177,0.,0.177
530,0.227,0.,0.227,0.061,0.,0.061,0.165,0.,0.165
540,0.261,0.003,0.257,0.116,0.,0.116,0.145,0.003,0.141
550,0.252,0.,0.252,0.066,0.,0.066,0.185,0.,0.185
560,0.239,0.003,0.235,0.091,0.003,0.087,0.147,0.,0.147
570,0.309,0.008,0.301,0.097,0.,0.097,0.211,0.008,0.203
580,0.268,0.003,0.264,0.089,0.,0.089,0.178,0.003,0.174
590,0.295,0.011,0.283,0.124,0.011,0.112,0.171,0.,0.171
600,0.297,0.003,0.293,0.093,0.,0.093,0.203,0.003,0.199
610,0.295,0.003,0.291,0.119,0.003,0.115,0.175,0.,0.175
620,0.311,0.004,0.307,0.118,0.,0.118,0.192,0.004,0.188
630,0.345,0.,0.345,0.13,0.,0.13,0.214,0.,0.214
640,0.348,0.,0.348,0.136,0.,0.136,0.211,0.,0.211
650,0.325,0.,0.325,0.121,0.,0.121,0.203,0.,0.203
660,0.375,0.,0.375,0.127,0.,0.127,0.247,0.,0.247
670,0.381,0.,0.381,0.129,0.,0.129,0.251,0.,0.251
680,0.448,0.,0.448,0.212,0.,0.212,0.236,0.,0.236
690,0.44,0.011,0.428,0.166,0.011,0.154,0.273,0.,0.273
700,0.447,0.015,0.431,0.156,0.015,0.14,0.29,0.,0.29
710,0.628,0.,0.628,0.175,0.,0.175,0.452,0.,0.452
720,0.508,0.,0.508,0.157,0.,0.157,0.351,0.,0.351
730,0.416,0.,0.416,0.139,0.,0.139,0.276,0.,0.276
740,0.461,0.,0.462,0.199,0.,0.199,0.262,0.,0.262
750,0.534,0.,0.534,0.238,0.,0.238,0.296,0.,0.296
760,0.48,0.003,0.476,0.17,0.003,0.166,0.309,0.,0.309
770,0.514,0.023,0.49,0.218,0.011,0.206,0.296,0.011,0.284
780,0.742,0.,0.742,0.403,0.,0.403,0.339,0.,0.339
790,0.585,0.,0.585,0.251,0.,0.251,0.334,0.,0.334
800,0.526,0.,0.526,0.16,0.,0.16,0.365,0.,0.365
810,0.518,0.,0.518,0.2,0.,0.2,0.317,0.,0.317
820,0.575,0.,0.575,0.237,0.,0.237,0.338,0.,0.338
830,0.72,0.001,0.719,0.279,0.,0.279,0.441,0.001,0.439
840,0.611,0.007,0.603,0.251,0.007,0.243,0.359,0.,0.359
850,0.684,0.02,0.664,0.263,0.011,0.251,0.42,0.008,0.412
860,0.732,0.,0.732,0.298,0.,0.298,0.433,0.,0.433
870,0.652,0.,0.652,0.266,0.,0.266,0.386,0.,0.386
880,0.999,0.,0.999,0.559,0.,0.559,0.439,0.,0.439
890,0.717,0.,0.717,0.285,0.,0.285,0.432,0.,0.432
900,0.651,0.,0.651,0.25,0.,0.25,0.4,0.,0.4
910,0.657,0.,0.657,0.26,0.,0.26,0.397,0.,0.397
920,0.771,0.,0.771,0.336,0.,0.336,0.434,0.,0.434
930,0.743,0.,0.743,0.32,0.,0.32,0.422,0.,0.422
940,1.047,0.,1.047,0.544,0.,0.544,0.502,0.,0.502
