param-n,open-constr-True-1000-real,open-constr-True-1000-sys,open-constr-True-1000-user
382,0.243,0.003,0.239
384,0.178,0.003,0.174
386,0.209,0.,0.209
388,0.162,0.,0.162
390,0.205,0.,0.205
392,0.226,0.,0.226
394,0.246,0.,0.246
396,0.28,0.,0.28
398,0.193,0.,0.193
400,0.182,0.,0.182
410,0.221,0.,0.221
420,0.231,0.,0.231
430,0.189,0.,0.189
440,0.21,0.,0.21
450,0.224,0.,0.224
460,0.311,0.,0.311
470,0.217,0.,0.217
480,0.269,0.,0.269
490,0.312,0.,0.312
500,0.326,0.,0.326
510,0.282,0.,0.282
520,0.257,0.,0.257
530,0.343,0.,0.343
540,0.32,0.,0.32
550,0.381,0.,0.381
560,0.372,0.015,0.356
570,0.318,0.015,0.302
580,0.285,0.,0.285
590,0.313,0.,0.313
600,0.336,0.,0.336
610,0.303,0.,0.303
620,0.347,0.,0.347
630,0.341,0.,0.341
640,0.345,0.,0.345
650,0.411,0.,0.411
660,0.332,0.004,0.328
670,0.347,0.011,0.335
680,0.378,0.,0.378
690,0.423,0.,0.423
700,0.449,0.,0.449
800,0.4,0.007,0.392
900,0.514,0.011,0.502
1000,0.661,0.,0.661
1100,0.578,0.,0.578
1200,0.753,0.,0.753
1300,0.9,0.003,0.896
1400,0.876,0.028,0.848
1500,1.04,0.012,1.028
1600,1.003,0.007,0.995
1700,1.216,0.,1.216
1800,1.146,0.032,1.114
1900,1.27,0.,1.27
2000,1.352,0.044,1.308
2100,1.312,0.012,1.3
2200,1.595,0.007,1.587
2300,1.451,0.015,1.435
2400,1.563,0.,1.563
2500,1.915,0.031,1.883
2600,1.746,0.087,1.658
2700,1.865,0.,1.865
2800,2.225,0.039,2.185
2900,1.951,0.007,1.943
3000,2.101,0.,2.101
