param-n,build-real,build-sys,build-user,build-and-refine-real,build-and-refine-sys,build-and-refine-user,refine-real,refine-sys,refine-user,to-constr-real,to-constr-sys,to-constr-user,type-of-real,type-of-sys,type-of-user
10600,0.313,0.,0.313,4.179,0.036,4.143,0.768,0.,0.768,1.356,0.036,1.32,1.741,0.,1.741
10700,0.27,0.003,0.266,4.544,0.087,4.456,0.782,0.,0.782,1.938,0.083,1.854,1.552,0.,1.552
10800,0.324,0.011,0.312,4.558,0.104,4.454,0.796,0.,0.796,1.24,0.092,1.148,2.196,0.,2.196
10900,0.277,0.003,0.273,4.488,0.051,4.436,0.813,0.,0.813,1.75,0.047,1.702,1.646,0.,1.646
11000,0.32,0.,0.32,5.125,0.044,5.081,0.827,0.,0.827,1.208,0.044,1.164,2.768,0.,2.768
11100,0.285,0.007,0.277,4.683,0.119,4.563,0.841,0.,0.841,1.834,0.112,1.722,1.721,0.,1.721
11200,0.345,0.,0.345,5.428,0.115,5.312,0.857,0.,0.857,1.302,0.115,1.186,2.922,0.,2.922
11300,0.292,0.003,0.288,4.872,0.131,4.74,0.873,0.,0.873,1.914,0.128,1.785,1.791,0.,1.791
11400,0.335,0.,0.335,5.461,0.04,5.421,0.892,0.,0.892,1.272,0.04,1.232,2.96,0.,2.96
11500,0.302,0.008,0.294,5.006,0.144,4.862,0.901,0.,0.901,1.937,0.135,1.801,1.865,0.,1.865
11600,0.352,0.007,0.344,5.753,0.155,5.597,0.913,0.,0.913,2.677,0.148,2.529,1.809,0.,1.809
11700,0.31,0.003,0.306,5.962,0.18,5.782,0.932,0.,0.932,2.85,0.176,2.674,1.869,0.,1.869
11800,0.341,0.,0.341,5.243,0.036,5.207,0.951,0.,0.951,2.068,0.036,2.032,1.881,0.,1.881
11900,0.303,0.003,0.299,5.341,0.107,5.233,0.969,0.,0.969,2.075,0.103,1.971,1.993,0.,1.993
12000,0.334,0.,0.334,5.402,0.096,5.306,0.983,0.,0.983,2.142,0.095,2.046,1.942,0.,1.942
12100,0.299,0.,0.299,6.148,0.135,6.012,1.002,0.,1.002,2.746,0.135,2.61,2.099,0.,2.099
12200,0.314,0.,0.314,5.349,0.068,5.281,1.018,0.,1.018,2.006,0.067,1.938,2.01,0.,2.01
12300,0.373,0.,0.373,5.881,0.135,5.745,1.033,0.,1.033,2.435,0.135,2.299,2.038,0.,2.038
12400,0.289,0.007,0.281,6.141,0.084,6.057,1.05,0.,1.05,2.722,0.076,2.645,2.078,0.,2.078
12500,0.316,0.003,0.312,6.354,0.131,6.222,1.068,0.,1.068,2.689,0.128,2.561,2.279,0.,2.279
12600,0.325,0.016,0.309,7.287,0.168,7.119,1.086,0.,1.086,3.586,0.151,3.434,2.289,0.,2.289
12700,0.31,0.,0.31,6.503,0.127,6.375,1.107,0.,1.107,2.9,0.127,2.772,2.184,0.,2.184
