param-n,constr-final-goal-make-final-goal-real,constr-final-goal-make-final-goal-sys,constr-final-goal-make-final-goal-user,eta-cast-pf-real,eta-cast-pf-sys,eta-cast-pf-user,eta-constr-pf-real,eta-constr-pf-sys,eta-constr-pf-user,eta-make-let-ins-real,eta-make-let-ins-sys,eta-make-let-ins-user,eta-make-pf-real,eta-make-pf-sys,eta-make-pf-user,eta-refine-real,eta-refine-sys,eta-refine-user,eta-refine-and-close-real,eta-refine-and-close-sys,eta-refine-and-close-user,everything-real,everything-sys,everything-user,make-Build-T-real,make-Build-T-sys,make-Build-T-user,make-T-real,make-T-sys,make-T-user,make-T-eta-real,make-T-eta-sys,make-T-eta-user,make-T-projs-real,make-T-projs-sys,make-T-projs-user,make-T-rect-real,make-T-rect-sys,make-T-rect-user,make-Ts-real,make-Ts-sys,make-Ts-user,make-f-ty-real,make-f-ty-sys,make-f-ty-user,making-real,making-sys,making-user
24,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.044,0.003,0.04,0.007,0.,0.007,0.,0.,0.,0.,0.,0.,0.203,0.003,0.199,0.004,0.,0.004,0.,0.,0.,0.062,0.003,0.058,0.03,0.,0.029,0.007,0.,0.007,0.096,0.,0.096,0.004,0.,0.004,0.201,0.003,0.197
25,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.032,0.,0.032,0.007,0.,0.007,0.,0.,0.,0.,0.,0.,0.213,0.,0.212,0.003,0.,0.003,0.,0.,0.,0.051,0.,0.051,0.042,0.,0.042,0.012,0.,0.012,0.099,0.,0.099,0.004,0.,0.004,0.211,0.,0.21
26,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.034,0.,0.034,0.011,0.,0.011,0.,0.,0.,0.,0.,0.,0.215,0.,0.215,0.004,0.,0.004,0.,0.,0.,0.058,0.,0.058,0.031,0.,0.031,0.008,0.,0.008,0.11,0.,0.11,0.005,0.,0.005,0.213,0.,0.212
27,0.,0.,0.,0.003,0.,0.003,0.001,0.,0.001,0.037,0.,0.037,0.008,0.,0.008,0.,0.,0.,0.,0.,0.,0.239,0.,0.239,0.006,0.,0.006,0.,0.,0.,0.059,0.,0.059,0.035,0.,0.035,0.019,0.,0.019,0.115,0.,0.114,0.016,0.,0.016,0.237,0.,0.237
28,0.,0.,0.,0.002,0.,0.002,0.001,0.,0.001,0.054,0.,0.053,0.008,0.,0.008,0.,0.,0.,0.,0.,0.,0.254,0.003,0.25,0.004,0.,0.004,0.,0.,0.,0.075,0.,0.075,0.038,0.,0.038,0.008,0.,0.008,0.123,0.003,0.119,0.005,0.,0.005,0.251,0.003,0.247
29,0.,0.,0.,0.003,0.,0.003,0.001,0.,0.001,0.054,0.,0.054,0.008,0.,0.008,0.,0.,0.,0.,0.,0.,0.277,0.,0.277,0.004,0.,0.004,0.,0.,0.,0.076,0.,0.076,0.041,0.,0.041,0.008,0.,0.008,0.142,0.,0.142,0.005,0.,0.005,0.275,0.,0.274
30,0.,0.,0.,0.003,0.,0.003,0.001,0.,0.001,0.057,0.,0.057,0.009,0.,0.009,0.,0.,0.,0.,0.,0.,0.313,0.003,0.308,0.004,0.,0.004,0.,0.,0.,0.08,0.,0.08,0.056,0.003,0.052,0.009,0.,0.009,0.158,0.,0.158,0.006,0.,0.006,0.31,0.003,0.306
31,0.,0.,0.,0.003,0.,0.003,0.001,0.,0.001,0.062,0.,0.062,0.009,0.,0.009,0.,0.,0.,0.,0.,0.,0.313,0.,0.313,0.005,0.,0.005,0.004,0.,0.004,0.087,0.,0.087,0.052,0.,0.052,0.009,0.,0.009,0.152,0.,0.152,0.006,0.,0.006,0.311,0.,0.31
32,0.,0.,0.,0.004,0.,0.004,0.002,0.,0.002,0.062,0.,0.062,0.009,0.,0.009,0.,0.,0.,0.,0.,0.,0.363,0.003,0.359,0.005,0.,0.005,0.,0.,0.,0.088,0.,0.088,0.059,0.,0.059,0.019,0.,0.018,0.186,0.003,0.182,0.015,0.,0.015,0.36,0.003,0.356
33,0.,0.,0.,0.004,0.,0.004,0.002,0.,0.002,0.055,0.,0.055,0.025,0.,0.025,0.,0.,0.,0.,0.,0.,0.381,0.,0.38,0.005,0.,0.005,0.,0.,0.,0.098,0.,0.098,0.077,0.,0.077,0.01,0.,0.01,0.185,0.,0.185,0.006,0.,0.006,0.378,0.,0.377
