param-n,assert-real,assert-sys,assert-user,build-real,build-sys,build-user,cbn-real,cbn-sys,cbn-user,destruct-real,destruct-sys,destruct-user,record-real,record-sys,record-user
184,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.018,0.,0.018,0.093,0.,0.093
185,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.018,0.,0.018,0.095,0.,0.095
186,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.018,0.003,0.015,0.095,0.,0.095
187,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.019,0.,0.019,0.098,0.,0.098
188,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.019,0.,0.019,0.097,0.,0.097
189,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.019,0.,0.019,0.099,0.,0.099
190,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.019,0.,0.019,0.101,0.,0.101
191,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.02,0.,0.02,0.103,0.,0.103
192,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.02,0.,0.02,0.102,0.,0.102
193,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.02,0.,0.02,0.104,0.,0.104
194,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.021,0.,0.021,0.106,0.,0.105
195,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.021,0.,0.021,0.106,0.,0.106
196,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.021,0.,0.021,0.107,0.,0.107
197,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.021,0.,0.021,0.91,0.007,0.901
198,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.021,0.,0.021,0.106,0.,0.106
199,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.022,0.,0.022,0.108,0.,0.108
200,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.022,0.,0.022,0.111,0.,0.11
205,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.021,0.,0.021,0.156,0.032,0.124
210,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.023,0.,0.023,0.109,0.007,0.102
215,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.024,0.,0.024,0.12,0.004,0.116
220,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.025,0.,0.025,0.172,0.007,0.164
225,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.026,0.,0.026,0.191,0.,0.191
230,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.028,0.,0.028,0.142,0.,0.142
235,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.029,0.,0.029,0.233,0.004,0.229
240,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.031,0.,0.031,0.152,0.,0.152
245,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.031,0.,0.031,0.161,0.,0.161
250,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.032,0.,0.032,0.315,0.003,0.311
255,0.,0.,0.,0.,0.,0.,0.,0.,0.,0.034,0.,0.034,0.168,0.,0.168
260,0.,0.,0.,0.,0.,0.,0.012,0.,0.012,0.038,0.,0.038,0.254,0.,0.254
265,0.,0.,0.,0.,0.,0.,0.013,0.,0.013,0.039,0.,0.039,0.253,0.,0.253
270,0.,0.,0.,0.,0.,0.,0.013,0.,0.013,0.041,0.,0.041,0.536,0.007,0.528
275,0.,0.,0.,0.,0.,0.,0.014,0.,0.014,0.043,0.,0.043,0.262,0.,0.262
280,0.,0.,0.,0.,0.,0.,0.015,0.,0.015,0.045,0.,0.045,0.276,0.003,0.272
285,0.,0.,0.,0.,0.,0.,0.016,0.,0.016,0.046,0.,0.046,0.298,0.,0.298
290,0.,0.,0.,0.,0.,0.,0.017,0.,0.017,0.048,0.,0.048,0.301,0.,0.301
295,0.,0.,0.,0.,0.,0.,0.017,0.,0.017,0.049,0.,0.049,0.74,0.015,0.724
300,0.,0.,0.,0.,0.,0.,0.018,0.,0.018,0.052,0.,0.052,0.325,0.,0.325
305,0.,0.,0.,0.,0.,0.,0.019,0.,0.019,0.053,0.,0.053,0.332,0.,0.332
310,0.,0.,0.,0.,0.,0.,0.022,0.,0.022,0.055,0.,0.055,0.34,0.,0.34
315,0.,0.,0.,0.,0.,0.,0.022,0.,0.022,0.057,0.,0.057,0.362,0.,0.362
320,0.,0.,0.,0.,0.,0.,0.023,0.,0.023,0.062,0.,0.062,0.374,0.,0.374
325,0.,0.,0.,0.,0.,0.,0.023,0.,0.023,0.06,0.,0.06,0.986,0.019,0.966
330,0.,0.,0.,0.,0.,0.,0.023,0.,0.023,0.063,0.,0.063,0.383,0.,0.383
335,0.,0.,0.,0.,0.,0.,0.025,0.,0.025,0.064,0.,0.064,0.389,0.,0.389
340,0.,0.,0.,0.,0.,0.,0.026,0.,0.026,0.068,0.,0.068,0.409,0.,0.409
345,0.,0.,0.,0.,0.,0.,0.029,0.,0.029,0.068,0.,0.068,0.416,0.004,0.412
