param-n build-real build-sys build-user build-and-typecheck-real build-and-typecheck-sys build-and-typecheck-user check-real check-sys check-user refine-real refine-sys refine-user type-real type-sys type-user
7600 0.179 0. 0.179 3.464 0. 3.464 2.294 0. 2.294 2.286 0. 2.286 0.99 0. 0.99
7700 0.183 0.003 0.179 3.648 0.004 3.644 2.358 0. 2.358 2.353 0. 2.353 1.106 0. 1.106
7800 0.181 0.003 0.177 4.214 0.007 4.206 2.418 0. 2.418 2.417 0. 2.417 1.613 0.003 1.609
7900 0.18 0. 0.18 4.738 0. 4.738 2.084 0. 2.084 2.484 0. 2.484 2.473 0. 2.473
8000 0.167 0. 0.167 4.381 0. 4.381 1.672 0. 1.672 1.094 0. 1.094 2.54 0. 2.54
8100 0.175 0. 0.175 5.391 0. 5.391 2.606 0. 2.606 2.607 0. 2.607 2.608 0. 2.608
8200 0.181 0. 0.181 5.31 0. 5.31 2.675 0. 2.675 2.668 0. 2.667 2.453 0. 2.453
8300 0.18 0.003 0.176 5.45 0.004 5.446 2.524 0. 2.524 1.625 0. 1.625 2.745 0. 2.745
8400 0.177 0. 0.177 5.081 0. 5.081 2.812 0. 2.812 2.814 0. 2.814 2.09 0. 2.09
8500 0.18 0. 0.18 5.735 0. 5.735 2.875 0. 2.875 2.883 0. 2.883 2.679 0. 2.679
8600 0.199 0. 0.199 5.816 0. 5.816 2.961 0. 2.961 2.949 0. 2.949 2.656 0. 2.656
8700 0.207 0. 0.207 5.083 0. 5.083 1.858 0. 1.858 1.453 0. 1.453 3.017 0. 3.017
8800 0.2 0. 0.199 5.714 0. 5.714 2.457 0. 2.457 3.059 0. 3.059 3.056 0. 3.056
8900 0.182 0. 0.182 5.604 0. 5.604 3.133 0. 3.133 3.13 0. 3.13 2.288 0. 2.288
9000 0.185 0. 0.185 5.078 0. 5.078 3.186 0. 3.186 3.179 0. 3.179 1.707 0. 1.707
9100 0.188 0. 0.188 5.032 0. 5.032 3.263 0. 3.263 3.254 0. 3.254 1.58 0. 1.58
9200 0.19 0. 0.19 5.253 0. 5.253 3.334 0. 3.334 3.331 0. 3.331 1.728 0. 1.728
9300 0.192 0. 0.192 5.908 0. 5.908 3.404 0. 3.404 3.407 0. 3.407 2.311 0. 2.311
9400 0.193 0. 0.193 7.153 0. 7.153 3.481 0. 3.481 3.482 0. 3.482 3.478 0. 3.478
9500 0.228 0. 0.228 5.539 0. 5.539 3.558 0. 3.558 3.553 0. 3.553 1.752 0. 1.752
9600 0.205 0. 0.205 7.475 0. 7.474 3.633 0. 3.633 3.632 0. 3.632 3.636 0. 3.636
9700 0.21 0. 0.21 6.576 0. 6.575 2.651 0. 2.651 2.799 0. 2.798 3.713 0. 3.713
9800 0.212 0. 0.212 6.203 0. 6.203 3.784 0. 3.784 3.784 0. 3.784 2.205 0. 2.205
9900 0.204 0. 0.204 6.14 0. 6.14 2.072 0. 2.072 2.292 0. 2.292 3.863 0. 3.863
10000 0.211 0. 0.211 6.717 0. 6.717 3.943 0. 3.943 3.945 0. 3.945 2.562 0. 2.562
10100 0.209 0. 0.209 7.603 0. 7.603 3.366 0. 3.366 3.956 0. 3.955 4.027 0. 4.027
10200 0.222 0. 0.222 6.093 0. 6.093 4.105 0. 4.105 4.107 0. 4.107 1.765 0. 1.765
10300 0.227 0. 0.227 7.212 0. 7.212 2.784 0. 2.784 3.502 0. 3.502 4.199 0. 4.199
10400 0.221 0. 0.221 6.367 0. 6.367 1.876 0. 1.876 2.202 0. 2.202 4.269 0. 4.269
10500 0.217 0. 0.217 8.101 0. 8.1 3.535 0. 3.535 1.869 0. 1.869 4.347 0. 4.347
10600 0.223 0. 0.223 9.085 0. 9.084 4.427 0. 4.427 1.87 0. 1.87 4.433 0. 4.433
10700 0.223 0. 0.223 9.263 0. 9.263 4.518 0. 4.518 1.91 0. 1.91 4.521 0. 4.521
10800 0.229 0. 0.229 7.901 0. 7.901 3.07 0. 3.07 2.114 0. 2.114 4.6 0. 4.6
10900 0.227 0. 0.227 7.085 0. 7.085 2.169 0. 2.169 2.968 0. 2.968 4.687 0. 4.687
11000 0.254 0. 0.254 9.341 0. 9.341 4.778 0. 4.778 3.223 0. 3.223 4.308 0. 4.308
11100 0.243 0. 0.243 7.286 0. 7.286 2.169 0. 2.169 3.009 0. 3.009 4.872 0. 4.872
11200 0.228 0. 0.228 7.04 0. 7.04 4.719 0. 4.719 4.961 0. 4.961 2.091 0. 2.091
11300 0.237 0. 0.237 9.982 0. 9.982 5.037 0. 5.037 2.128 0. 2.128 4.707 0. 4.707
11400 0.238 0. 0.238 8.813 0. 8.813 3.449 0. 3.449 5.139 0. 5.139 5.125 0. 5.125
11500 0.239 0. 0.239 10.363 0. 10.363 5.218 0. 5.218 2.216 0. 2.216 4.905 0. 4.905
11600 0.267 0. 0.267 10.634 0. 10.634 5.067 0. 5.066 2.541 0. 2.541 5.299 0. 5.299
11700 0.248 0. 0.248 8.536 0. 8.536 5.396 0. 5.396 5.402 0. 5.402 2.891 0. 2.891
11800 0.245 0. 0.245 8.786 0. 8.786 3.828 0. 3.828 5.489 0. 5.489 4.711 0. 4.711
11900 0.251 0. 0.251 8.384 0. 8.384 2.55 0. 2.55 4.305 0. 4.305 5.581 0. 5.581
