param-n build-and-open-real build-and-open-sys build-and-open-user open-constr-real open-constr-sys open-constr-user uconstr-real uconstr-sys uconstr-user
188 0.016 0. 0.016 0.013 0. 0.013 0.002 0. 0.002
189 0.015 0. 0.015 0.012 0. 0.012 0.002 0. 0.002
190 0.015 0. 0.015 0.012 0. 0.012 0.002 0. 0.002
191 0.016 0. 0.016 0.013 0. 0.013 0.002 0. 0.002
192 0.017 0. 0.017 0.014 0. 0.014 0.002 0. 0.002
193 0.016 0. 0.016 0.013 0. 0.013 0.002 0. 0.002
194 0.016 0. 0.016 0.013 0. 0.013 0.002 0. 0.002
195 0.019 0. 0.019 0.016 0. 0.016 0.002 0. 0.002
196 0.016 0. 0.016 0.014 0. 0.014 0.002 0. 0.002
197 0.016 0. 0.016 0.013 0. 0.013 0.002 0. 0.002
198 0.017 0. 0.017 0.014 0. 0.014 0.002 0. 0.002
199 0.017 0. 0.017 0.014 0. 0.014 0.002 0. 0.002
200 0.017 0. 0.017 0.014 0. 0.014 0.002 0. 0.002
201 0.017 0. 0.017 0.014 0. 0.014 0.002 0. 0.002
202 0.017 0. 0.017 0.015 0. 0.015 0.002 0. 0.002
203 0.017 0. 0.017 0.014 0. 0.014 0.002 0. 0.002
204 0.018 0. 0.018 0.015 0. 0.015 0.002 0. 0.002
205 0.024 0. 0.024 0.021 0. 0.021 0.002 0. 0.002
206 0.018 0. 0.018 0.015 0. 0.015 0.002 0. 0.002
207 0.018 0. 0.018 0.015 0. 0.015 0.003 0. 0.003
208 0.018 0. 0.018 0.015 0. 0.015 0.003 0. 0.003
209 0.029 0. 0.029 0.015 0. 0.015 0.013 0. 0.013
210 0.019 0. 0.019 0.015 0. 0.015 0.003 0. 0.003
211 0.019 0. 0.019 0.016 0. 0.016 0.003 0. 0.003
212 0.019 0. 0.019 0.016 0. 0.016 0.003 0. 0.003
213 0.019 0. 0.019 0.016 0. 0.016 0.003 0. 0.003
214 0.019 0. 0.019 0.016 0. 0.016 0.003 0. 0.003
215 0.02 0. 0.02 0.016 0. 0.016 0.003 0. 0.003
216 0.02 0. 0.02 0.016 0. 0.016 0.003 0. 0.003
217 0.02 0. 0.02 0.017 0. 0.017 0.003 0. 0.003
218 0.02 0. 0.02 0.017 0. 0.017 0.003 0. 0.003
219 0.02 0. 0.02 0.017 0. 0.017 0.003 0. 0.003
220 0.021 0. 0.021 0.018 0. 0.018 0.003 0. 0.003
221 0.021 0. 0.021 0.017 0. 0.017 0.003 0. 0.003
222 0.021 0. 0.021 0.017 0. 0.017 0.003 0. 0.003
223 0.027 0. 0.027 0.023 0. 0.023 0.003 0. 0.003
224 0.021 0. 0.021 0.018 0. 0.018 0.003 0. 0.003
225 0.021 0. 0.021 0.018 0. 0.018 0.003 0. 0.003
226 0.032 0. 0.032 0.028 0. 0.028 0.003 0. 0.003
227 0.022 0. 0.022 0.018 0. 0.018 0.003 0. 0.003
228 0.022 0. 0.022 0.018 0. 0.018 0.003 0. 0.003
229 0.022 0. 0.022 0.019 0. 0.019 0.003 0. 0.003
