param-n,build-real,build-sys,build-user,build-and-typecheck-real,build-and-typecheck-sys,build-and-typecheck-user,refine-real,refine-sys,refine-user,typecheck-real,typecheck-sys,typecheck-user
139,0.006,0.,0.006,0.008,0.,0.008,0.002,0.,0.002,0.002,0.,0.002
140,0.006,0.,0.006,0.008,0.,0.008,0.002,0.,0.002,0.002,0.,0.002
141,0.005,0.,0.005,0.008,0.,0.008,0.002,0.,0.002,0.002,0.,0.002
142,0.006,0.,0.006,0.008,0.,0.008,0.002,0.,0.002,0.002,0.,0.002
143,0.006,0.,0.006,0.008,0.,0.008,0.002,0.,0.002,0.002,0.,0.002
144,0.006,0.,0.006,0.008,0.,0.008,0.002,0.,0.002,0.002,0.,0.002
145,0.006,0.,0.006,0.009,0.,0.009,0.002,0.,0.002,0.002,0.,0.002
146,0.006,0.,0.006,0.008,0.,0.008,0.002,0.,0.002,0.002,0.,0.002
147,0.006,0.,0.006,0.008,0.,0.008,0.002,0.,0.002,0.002,0.,0.002
148,0.007,0.,0.007,0.009,0.,0.009,0.002,0.,0.002,0.002,0.,0.002
149,0.006,0.,0.006,0.008,0.,0.009,0.002,0.,0.002,0.002,0.,0.002
150,0.006,0.,0.006,0.008,0.,0.008,0.002,0.,0.002,0.002,0.,0.002
151,0.007,0.,0.007,0.009,0.,0.009,0.002,0.,0.002,0.002,0.,0.002
152,0.006,0.,0.006,0.009,0.002,0.006,0.002,0.,0.001,0.002,0.002,0.
153,0.006,0.,0.006,0.009,0.,0.008,0.002,0.,0.002,0.002,0.,0.002
154,0.007,0.,0.007,0.01,0.,0.01,0.002,0.,0.002,0.002,0.,0.002
155,0.006,0.,0.006,0.009,0.,0.009,0.002,0.,0.002,0.002,0.,0.002
156,0.006,0.,0.006,0.009,0.,0.009,0.002,0.,0.002,0.002,0.,0.002
157,0.006,0.,0.006,0.009,0.,0.009,0.002,0.,0.002,0.002,0.,0.002
158,0.006,0.,0.006,0.009,0.,0.009,0.002,0.,0.002,0.002,0.,0.002
159,0.006,0.,0.006,0.01,0.,0.01,0.002,0.,0.002,0.003,0.,0.003
160,0.006,0.,0.006,0.009,0.,0.009,0.002,0.,0.002,0.002,0.,0.002
161,0.006,0.,0.006,0.009,0.,0.009,0.002,0.,0.002,0.002,0.,0.002
162,0.007,0.,0.007,0.01,0.,0.01,0.002,0.,0.002,0.002,0.,0.002
163,0.006,0.,0.006,0.009,0.,0.009,0.003,0.,0.003,0.002,0.,0.002
164,0.006,0.,0.006,0.009,0.,0.009,0.003,0.,0.003,0.002,0.,0.002
165,0.007,0.,0.007,0.009,0.,0.009,0.003,0.,0.003,0.002,0.,0.002
166,0.006,0.,0.006,0.009,0.,0.009,0.003,0.,0.003,0.002,0.,0.002
167,0.008,0.,0.008,0.011,0.,0.011,0.003,0.,0.003,0.002,0.,0.002
168,0.007,0.,0.007,0.01,0.,0.01,0.003,0.,0.003,0.002,0.,0.002
169,0.007,0.,0.007,0.01,0.,0.01,0.003,0.,0.003,0.003,0.,0.003
170,0.007,0.,0.007,0.01,0.,0.01,0.003,0.,0.003,0.002,0.,0.002
171,0.007,0.,0.007,0.01,0.,0.01,0.003,0.,0.003,0.003,0.,0.003
172,0.008,0.,0.008,0.01,0.,0.01,0.003,0.,0.003,0.002,0.,0.002
173,0.007,0.,0.007,0.01,0.,0.01,0.003,0.,0.003,0.003,0.,0.003
174,0.007,0.,0.007,0.01,0.,0.01,0.003,0.,0.003,0.003,0.,0.003
175,0.007,0.,0.007,0.01,0.,0.01,0.003,0.,0.003,0.003,0.,0.003
176,0.007,0.,0.007,0.01,0.,0.01,0.003,0.,0.003,0.003,0.,0.003
177,0.008,0.,0.008,0.011,0.,0.011,0.003,0.,0.003,0.003,0.,0.003
178,0.007,0.,0.007,0.01,0.,0.01,0.003,0.,0.003,0.003,0.,0.003
179,0.007,0.,0.007,0.01,0.,0.01,0.004,0.,0.004,0.003,0.,0.003
180,0.007,0.,0.007,0.011,0.,0.011,0.003,0.,0.003,0.003,0.,0.003
181,0.007,0.,0.007,0.011,0.,0.011,0.003,0.,0.003,0.003,0.,0.003
182,0.008,0.,0.008,0.011,0.,0.011,0.003,0.,0.003,0.003,0.,0.003
183,0.007,0.,0.007,0.011,0.,0.011,0.003,0.,0.003,0.003,0.,0.003
184,0.008,0.,0.008,0.012,0.,0.012,0.003,0.,0.003,0.003,0.,0.003
185,0.008,0.,0.008,0.011,0.,0.011,0.003,0.,0.003,0.003,0.,0.003
186,0.007,0.,0.007,0.012,0.,0.012,0.003,0.,0.003,0.004,0.,0.004
187,0.008,0.,0.008,0.011,0.,0.011,0.003,0.,0.003,0.003,0.,0.003
188,0.008,0.,0.008,0.011,0.,0.011,0.003,0.,0.003,0.003,0.,0.003
189,0.008,0.,0.008,0.011,0.,0.011,0.003,0.,0.003,0.003,0.,0.003
190,0.008,0.,0.008,0.011,0.,0.011,0.003,0.,0.003,0.003,0.,0.003
191,0.008,0.,0.008,0.012,0.,0.012,0.003,0.,0.003,0.003,0.,0.003
192,0.008,0.,0.008,0.011,0.,0.011,0.003,0.,0.003,0.003,0.,0.003
193,0.008,0.,0.008,0.012,0.,0.012,0.004,0.,0.004,0.003,0.,0.003
194,0.008,0.,0.008,0.012,0.,0.012,0.004,0.,0.004,0.003,0.,0.003
195,0.009,0.,0.009,0.012,0.,0.012,0.003,0.,0.003,0.003,0.,0.003
196,0.008,0.,0.008,0.012,0.,0.012,0.004,0.,0.004,0.003,0.,0.003
197,0.008,0.,0.008,0.013,0.,0.013,0.004,0.,0.004,0.004,0.,0.004
198,0.008,0.,0.008,0.012,0.,0.012,0.004,0.,0.004,0.003,0.,0.003
199,0.008,0.,0.008,0.012,0.,0.012,0.005,0.,0.005,0.003,0.,0.003
200,0.008,0.,0.008,0.012,0.,0.012,0.004,0.,0.004,0.004,0.,0.004
201,0.009,0.,0.009,0.013,0.,0.013,0.004,0.,0.004,0.003,0.,0.003
202,0.008,0.,0.008,0.012,0.,0.012,0.004,0.,0.004,0.003,0.,0.003
203,0.008,0.,0.008,0.013,0.,0.013,0.004,0.,0.004,0.004,0.,0.004
204,0.008,0.,0.008,0.012,0.,0.012,0.004,0.,0.004,0.003,0.,0.003
205,0.008,0.,0.008,0.012,0.,0.012,0.004,0.,0.004,0.004,0.,0.004
206,0.008,0.,0.008,0.012,0.,0.012,0.004,0.,0.004,0.004,0.,0.004
207,0.008,0.,0.008,0.013,0.,0.013,0.004,0.,0.004,0.004,0.,0.004
208,0.009,0.,0.009,0.013,0.,0.013,0.004,0.,0.004,0.004,0.,0.004
209,0.009,0.,0.009,0.013,0.,0.013,0.004,0.,0.004,0.004,0.,0.004
210,0.009,0.,0.009,0.013,0.,0.013,0.004,0.,0.004,0.004,0.,0.004
211,0.009,0.,0.009,0.013,0.,0.013,0.004,0.,0.004,0.004,0.,0.004
212,0.009,0.,0.009,0.013,0.,0.013,0.004,0.,0.004,0.004,0.,0.004
213,0.008,0.,0.008,0.013,0.,0.013,0.004,0.,0.004,0.004,0.,0.004
214,0.009,0.,0.009,0.013,0.,0.013,0.004,0.,0.004,0.004,0.,0.004
215,0.009,0.,0.009,0.013,0.,0.013,0.004,0.,0.004,0.004,0.,0.004
216,0.009,0.,0.009,0.013,0.,0.013,0.004,0.,0.004,0.004,0.,0.004
217,0.009,0.,0.009,0.013,0.,0.013,0.004,0.,0.004,0.004,0.,0.004
